Original_Path,Original_Name,New_Name,Action,Reason,Validation_Time
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py,cache.py,TEMP_cache.py,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\__pycache__\cache.cpython-312.pyc,cache.cpython-312.pyc,TEMP_cache.cpython-312.pyc,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py,metadata_legacy.py,ARCHIVE_metadata_legacy.py,RENAME,Historical asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py,wheel_legacy.py,ARCHIVE_wheel_legacy.py,RENAME,Historical asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\__pycache__\metadata_legacy.cpython-312.pyc,metadata_legacy.cpython-312.pyc,ARCHIVE_metadata_legacy.cpython-312.pyc,RENAME,Historical asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\__pycache__\wheel_legacy.cpython-312.pyc,wheel_legacy.cpython-312.pyc,ARCHIVE_wheel_legacy.cpython-312.pyc,RENAME,Historical asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py,editable_legacy.py,ARCHIVE_editable_legacy.py,RENAME,Historical asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\__pycache__\editable_legacy.cpython-312.pyc,editable_legacy.cpython-312.pyc,ARCHIVE_editable_legacy.cpython-312.pyc,RENAME,Historical asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy,legacy,ARCHIVE_legacy,RENAME,Historical asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py,temp_dir.py,TEMP_temp_dir.py,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\__pycache__\temp_dir.cpython-312.pyc,temp_dir.cpython-312.pyc,TEMP_temp_dir.cpython-312.pyc,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_internal\__pycache__\cache.cpython-312.pyc,cache.cpython-312.pyc,TEMP_cache.cpython-312.pyc,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol,cachecontrol,TEMP_cachecontrol,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches,caches,TEMP_caches,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py,cache.py,TEMP_cache.py,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py,file_cache.py,TEMP_file_cache.py,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\redis_cache.py,redis_cache.py,TEMP_redis_cache.py,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\__pycache__\file_cache.cpython-312.pyc,file_cache.cpython-312.pyc,TEMP_file_cache.cpython-312.pyc,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\__pycache__\redis_cache.cpython-312.pyc,redis_cache.cpython-312.pyc,TEMP_redis_cache.cpython-312.pyc,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\__pycache__\cache.cpython-312.pyc,cache.cpython-312.pyc,TEMP_cache.cpython-312.pyc,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\certifi\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.920076
E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\styles\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\compat\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\tomli\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\truststore\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.935695
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\architecture_classifier\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.951285
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\architecture_scanner\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.951285
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\config\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.951285
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.951285
E:\football_v\00_System_OS\Automation\task_manager\task_history.json,task_history.json,ARCHIVE_task_history.json,RENAME,Historical asset,2026-07-25 14:08:51.951285
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_TASK_TEMPLATE.txt,FOOTBALL_AI_OS_DEVELOPMENT_TASK_TEMPLATE.txt,TEMP_FOOTBALL_AI_OS_DEVELOPMENT_TASK_TEMPLATE.txt,RENAME,Temporary asset,2026-07-25 14:08:51.951285
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_VERSION_INFO_TEMPLATE.txt,FOOTBALL_AI_OS_VERSION_INFO_TEMPLATE.txt,TEMP_FOOTBALL_AI_OS_VERSION_INFO_TEMPLATE.txt,RENAME,Temporary asset,2026-07-25 14:08:51.951285
E:\football_v\00_System_OS\File_Manager\lifecycle\lifecycle_history.json,lifecycle_history.json,ARCHIVE_lifecycle_history.json,RENAME,Historical asset,2026-07-25 14:08:51.951285
E:\football_v\00_System_OS\project_management\archive\version_history,version_history,ARCHIVE_version_history,RENAME,Historical asset,2026-07-25 14:08:51.951285
E:\football_v\00_System_OS\registry\module_template.json,module_template.json,TEMP_module_template.json,RENAME,Temporary asset,2026-07-25 14:08:51.951285
E:\football_v\00_System_OS\scripts\legacy_archive_finalize_v12.ps1,legacy_archive_finalize_v12.ps1,ARCHIVE_legacy_archive_finalize_v12.ps1,RENAME,Historical asset,2026-07-25 14:08:51.951285
E:\football_v\00_System_OS\scripts\legacy_cleanup_v10.ps1,legacy_cleanup_v10.ps1,ARCHIVE_legacy_cleanup_v10.ps1,RENAME,Historical asset,2026-07-25 14:08:51.951285
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\templates,templates,TEMP_templates,RENAME,Temporary asset,2026-07-25 14:08:51.951285
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.966906
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.966906
E:\football_v\01_Data_Archive\history,history,ARCHIVE_history,RENAME,Historical asset,2026-07-25 14:08:51.966906
E:\football_v\01_Data_Source\download\download_history.json,download_history.json,ARCHIVE_download_history.json,RENAME,Historical asset,2026-07-25 14:08:51.966906
E:\football_v\01_Data_Source\pipeline\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.966906
E:\football_v\02_Data_Platform\data_manager\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.966906
E:\football_v\02_Data_Platform\raw\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.966906
E:\football_v\03_Data_Governance\Football_AI_OS_Legacy_Asset_Index_V1.0.zip,Football_AI_OS_Legacy_Asset_Index_V1.0.zip,ARCHIVE_Football_AI_OS_Legacy_Asset_Index_V1.0.zip,RENAME,Historical asset,2026-07-25 14:08:51.966906
E:\football_v\04_Data_Processing_AI\data_intelligence_engine\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.966906
E:\football_v\04_Data_Processing_AI\dynamic_feature_weight_engine\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.966906
E:\football_v\04_Data_Processing_AI\feature_store\elo_history_feature_engine.py,elo_history_feature_engine.py,ARCHIVE_elo_history_feature_engine.py,RENAME,Historical asset,2026-07-25 14:08:51.966906
E:\football_v\04_Data_Processing_AI\feature_store\feature_cache_manager.py,feature_cache_manager.py,TEMP_feature_cache_manager.py,RENAME,Temporary asset,2026-07-25 14:08:51.966906
E:\football_v\04_Data_Processing_AI\feature_store\adapters\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.966906
E:\football_v\05_AI_Intelligence_Layer\FUSION_DECISION_ENGINE\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.985627
E:\football_v\05_AI_Intelligence_Layer\MODEL_ADAPTER_FRAMEWORK\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.986655
E:\football_v\05_AI_Intelligence_Layer\MODEL_EVALUATION_ENGINE\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.986655
E:\football_v\05_AI_Intelligence_Layer\MODEL_REGISTRY\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.986655
E:\football_v\05_AI_Intelligence_Layer\SELF_REFLECTION_ENGINE\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.987652
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\advanced_model_connector\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.990646
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\confidence_calibration\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.991612
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\confidence_engine\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.991612
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\knockout_extension\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.991612
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\model_connector\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.991612
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\prediction_api\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.992639
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\probability_engine\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.992639
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\real_probability_engine\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.992639
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\regular_time_prediction\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.993640
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\risk_engine\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.993640
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\risk_intelligence_engine\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.993640
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\score_prediction\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.993640
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\score_probability_engine\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.994633
E:\football_v\07_AI_ORCHESTRATION_LAYER\data_pipeline\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.995600
E:\football_v\07_AI_ORCHESTRATION_LAYER\decision_interface\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.995600
E:\football_v\07_AI_ORCHESTRATION_LAYER\learning_hook\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.996598
E:\football_v\07_AI_ORCHESTRATION_LAYER\learning_hook\backup_feedback_receiver_V1.0.py,backup_feedback_receiver_V1.0.py,ARCHIVE_backup_feedback_receiver_V1.0.py,RENAME,Historical asset,2026-07-25 14:08:51.996598
E:\football_v\07_AI_ORCHESTRATION_LAYER\model_router\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.996598
E:\football_v\07_AI_ORCHESTRATION_LAYER\orchestration_core\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.996598
E:\football_v\07_AI_ORCHESTRATION_LAYER\report_engine\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.996598
E:\football_v\07_AI_ORCHESTRATION_LAYER\workflow_monitor\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.997595
E:\football_v\08_DECISION_INTELLIGENCE_LAYER\feedback_interface\backup,backup,ARCHIVE_backup,RENAME,Historical asset,2026-07-25 14:08:51.998806
E:\football_v\08_DECISION_INTELLIGENCE_LAYER\feedback_interface\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.998806
E:\football_v\08_DECISION_INTELLIGENCE_LAYER\feedback_interface\backup\feedback_connector_V0.1_backup.py,feedback_connector_V0.1_backup.py,ARCHIVE_feedback_connector_V0.1_backup.py,RENAME,Historical asset,2026-07-25 14:08:51.998806
E:\football_v\09_Prediction_System\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.998806
E:\football_v\09_Prediction_System\prediction_history.py,prediction_history.py,ARCHIVE_prediction_history.py,RENAME,Historical asset,2026-07-25 14:08:51.998806
E:\football_v\09_Prediction_System\tests\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.998806
E:\football_v\09_Prediction_System\__pycache__\prediction_history.cpython-312.pyc,prediction_history.cpython-312.pyc,ARCHIVE_prediction_history.cpython-312.pyc,RENAME,Historical asset,2026-07-25 14:08:51.998806
E:\football_v\10_AI_AUTONOMOUS_ENGINE\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.998806
E:\football_v\10_AI_AUTONOMOUS_ENGINE\optimization_history.py,optimization_history.py,ARCHIVE_optimization_history.py,RENAME,Historical asset,2026-07-25 14:08:51.998806
E:\football_v\10_AI_AUTONOMOUS_ENGINE\upgrade_history_repository.py,upgrade_history_repository.py,ARCHIVE_upgrade_history_repository.py,RENAME,Historical asset,2026-07-25 14:08:51.998806
E:\football_v\10_AI_AUTONOMOUS_ENGINE\tests\.pytest_cache,.pytest_cache,TEMP_.pytest_cache,RENAME,Temporary asset,2026-07-25 14:08:51.998806
E:\football_v\10_AI_AUTONOMOUS_ENGINE\tests\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:51.998806
E:\football_v\10_AI_AUTONOMOUS_ENGINE\tests\.pytest_cache\CACHEDIR.TAG,CACHEDIR.TAG,TEMP_CACHEDIR.TAG,RENAME,Temporary asset,2026-07-25 14:08:51.998806
E:\football_v\10_AI_AUTONOMOUS_ENGINE\tests\.pytest_cache\v\cache,cache,TEMP_cache,RENAME,Temporary asset,2026-07-25 14:08:51.998806
E:\football_v\11_System_Intelligence\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:52.014428
E:\football_v\11_System_Intelligence\tests\__pycache__,__pycache__,TEMP___pycache__,RENAME,Temporary asset,2026-07-25 14:08:52.014428
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\backup_engine,backup_engine,ARCHIVE_backup_engine,RENAME,Historical asset,2026-07-25 14:08:52.030081
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\database_backup_scheduler,database_backup_scheduler,ARCHIVE_database_backup_scheduler,RENAME,Historical asset,2026-07-25 14:08:52.030081
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\backup_engine\backup_engine_V1.0.py,backup_engine_V1.0.py,ARCHIVE_backup_engine_V1.0.py,RENAME,Historical asset,2026-07-25 14:08:52.030081
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\batch_modules\create_backup_engine.py,create_backup_engine.py,ARCHIVE_create_backup_engine.py,RENAME,Historical asset,2026-07-25 14:08:52.030081
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\database_backup_scheduler\database_backup_scheduler_V1.0.py,database_backup_scheduler_V1.0.py,ARCHIVE_database_backup_scheduler_V1.0.py,RENAME,Historical asset,2026-07-25 14:08:52.030081
E:\football_v\17_MODEL_STORE_LAYER\model_cache_manager,model_cache_manager,TEMP_model_cache_manager,RENAME,Temporary asset,2026-07-25 14:08:52.030081
