Path,Name,Type,Decision,Suggested_Status,Validation_Time
E:\football_v\99_DOCUMENTATION\checkpoints\logger_merge_backup_phase1,logger_merge_backup_phase1,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\version_service_backup_v11,version_service_backup_v11,DIR,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\Checkpoint-036_Legacy_Cleanup_V1.0.txt,Checkpoint-036_Legacy_Cleanup_V1.0.txt,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\Checkpoint-038_Legacy_Archive_Finalization_V1.2.txt,Checkpoint-038_Legacy_Archive_Finalization_V1.2.txt,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\database_backup_v11\db_connection_backup.py,db_connection_backup.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\file_service_backup_v11\file_service_backup.py,file_service_backup.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\hash_service_backup_v11\hash_service_backup.py,hash_service_backup.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\checkpoints\version_service_backup_v11\version_service_backup.py,version_service_backup.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\Legacy_Asset_Index\Final_Master_Index\Football_AI_OS_Legacy_Master_Index_V1.0.csv,Football_AI_OS_Legacy_Master_Index_V1.0.csv,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\Legacy_Asset_Index\Governance_Report\Football_AI_OS_V2.0_Legacy_Asset_Governance_Report_V1.0.md,Football_AI_OS_V2.0_Legacy_Asset_Governance_Report_V1.0.md,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\99_DOCUMENTATION\SYSTEM_CHECKPOINTS\OLD_PATH_REFERENCE_SCAN_V4.0.txt,OLD_PATH_REFERENCE_SCAN_V4.0.txt,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\deployment_scripts\application_layer_db_test_tmp.py,application_layer_db_test_tmp.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\deployment_scripts\db_check_tmp.py,db_check_tmp.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.317300
E:\football_v\deployment_scripts\decision_layer_db_test_tmp.py,decision_layer_db_test_tmp.py,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.333338
E:\football_v\FINAL_RELEASE_REPORT\legacy_delete_check.json,legacy_delete_check.json,FILE,CANDIDATE,UNUSED_OR_ARCHIVE,2026-07-25 14:06:29.334024
