status,size,reason,file
A,560,content|model|predict|feature|engine,E:\football_v\phase26_30_test.py
A,3438,content|model|predict|feature|history|rating|engine|runtime|database|odds|bet|train,E:\football_v\phase2_function_scan.py
B,1204,content|feature|engine|runtime,E:\football_v\phase36_40_deploy.py
B,1252,content|feature|engine|runtime,E:\football_v\phase36_40_deploy_test.py
A,575,content|history|engine|odds|bet,E:\football_v\phase36_40_test.py
C,2757,content|engine,E:\football_v\phase3_call_graph_scan.py
B,1190,content|model|predict|feature,E:\football_v\phase41_45_deploy_test.py
B,1284,content|model|engine,E:\football_v\phase46_50_deploy_test.py
C,3165,content|database,E:\football_v\phase4_database_scan.py
A,1693,content|model|predict|feature|runtime|database|odds,E:\football_v\phase51_55_final_validation.py
A,1250,content|model|predict|feature|engine|runtime|bet,E:\football_v\phase51_validation.py
A,1207,content|model|predict|feature|engine|runtime|database|bet,E:\football_v\phase52_backtest.py
B,3239,content|model|predict|train,E:\football_v\phase5_model_scan.py
A,3540,content|feature|history|rating|engine,E:\football_v\phase6_feature_scan.py
B,3714,content|predict|engine|runtime,E:\football_v\phase7_runtime_scan.py
A,2758,content|model|predict|feature|history|rating|engine|runtime|database|odds|bet|train,E:\football_v\phase8_status_scan.py
C,531,content,E:\football_v\quality_report.json
A,1369,content|model|predict|feature|engine|database|train,E:\football_v\release_final_patch_V2.0.1.py
A,1360,content|model|predict|feature|engine|database|train,E:\football_v\release_integration_V2.0.py
C,354,content,E:\football_v\release_registry_V1.5.json
B,954,content|model|engine|database,E:\football_v\release_validation_V1.5.py
C,51,runtime,E:\football_v\start_ai_os.py
A,1030,content|model|predict|feature|engine|train,E:\football_v\test_ai_intelligence_V2.0.py
A,2082,content|model|predict|feature|engine|database|train,E:\football_v\validate_release_V2.0.py
C,357,content,E:\football_v\.venv\Lib\site-packages\pip\__init__.py
C,854,content,E:\football_v\.venv\Lib\site-packages\pip\__main__.py
C,1450,content|feature,E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py
C,10700,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py
C,10369,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
C,14005,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
B,26481,content|model|rating,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
C,340,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\main.py
C,7286,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
C,8318,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
B,11799,content|model|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
C,513,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\__init__.py
C,6865,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py
C,8625,content|feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
A,30116,content|model|feature|bet|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
C,774,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py
C,5677,content|feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
C,2817,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main.py
C,4338,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py
C,10825,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
C,2717,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py
B,12250,content|model|feature|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
C,5118,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
C,116,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\status_codes.py
C,132,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\__init__.py
C,8107,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
C,2268,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\check.py
C,4287,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py
C,9766,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
C,6797,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
C,5273,content|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py
C,3203,content|rating,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
C,1703,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py
C,1132,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\help.py
C,4731,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
C,3189,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
B,29390,content|model|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
C,12769,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
C,5626,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
C,7857,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py
C,3892,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py
C,6414,content|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py
C,3882,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__init__.py
C,1783,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\base.py
C,842,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\installed.py
C,6751,content|rating,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py
C,1317,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\wheel.py
C,858,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\__init__.py
C,16265,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py
B,38076,content|model|rating,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
C,8632,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py
D,30,,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\__init__.py
C,2556,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\base.py
C,6013,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py
B,7724,content|model|bet,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py
B,14925,content|model|feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__init__.py
B,25298,content|model|rating|bet,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py
C,10542,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py
C,2707,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\_json.py
C,4337,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py
C,2796,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py
C,8279,content|rating,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py
B,7431,content|model|feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py
C,135,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py
C,753,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\candidate.py
C,6578,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py
C,2486,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\format_control.py
C,1030,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\index.py
C,2818,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py
C,21448,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py
C,575,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\scheme.py
C,4531,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\search_scope.py
C,2015,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py
C,4271,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\target_python.py
C,4539,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\wheel.py
C,63,model,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__init__.py
B,20809,content|model|history,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py
C,4614,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
B,6048,content|model|bet,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
C,7622,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
B,18771,content|model|runtime|bet,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
C,4088,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\utils.py
C,1838,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
D,50,,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\__init__.py
C,5912,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
C,9843,content|feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
B,28118,content|model|feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
D,0,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\__init__.py
C,4774,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py
C,1422,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py
C,1510,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py
C,2190,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py
C,1075,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py
C,1417,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py
C,3045,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py
D,0,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\__init__.py
C,1283,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py
B,27615,content|model|predict,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
D,51,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\__init__.py
B,18430,content|model|bet|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
B,20234,content|model|feature|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
A,35786,content|model|feature|rating|bet|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
C,2858,content|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py
C,23853,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
C,2653,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\__init__.py
C,583,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\base.py
D,0,,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\__init__.py
B,24068,content|model|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py
D,0,,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\__init__.py
B,5023,content|model|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py
B,20001,content|model|runtime|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py
B,32659,content|model|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py
C,6383,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py
B,9935,content|bet|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py
B,3168,content|runtime|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py
C,8065,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py
B,12592,content|predict|train,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py
D,0,,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__init__.py
C,1665,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\appdirs.py
C,2399,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\compat.py
C,6272,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\compatibility_tags.py
C,242,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\datetime.py
C,3707,content|feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py
C,3196,content|model,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py
C,2463,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\egg_link.py
C,3064,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\entrypoints.py
C,4950,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\filesystem.py
C,716,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\filetypes.py
C,3734,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\glibc.py
C,4972,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\hashes.py
C,11845,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py
C,23450,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\misc.py
C,2142,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\packaging.py
C,1392,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\retry.py
C,4435,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\setuptools_build.py
C,8988,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\subprocess.py
C,9310,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py
C,11967,content|feature,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py
C,1599,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\urls.py
C,3456,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\virtualenv.py
C,4494,content|runtime,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\wheel.py
C,3350,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_jaraco_text.py
C,1015,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_log.py
D,0,,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\__init__.py
C,3528,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\bazaar.py
C,18177,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\git.py
C,5249,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\mercurial.py
C,11735,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\subversion.py
C,22440,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py
C,596,content,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\__init__.py
A,134499,content|model|runtime|bet|train,E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py
B,4873,content|rating|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\__init__.py
C,6348,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py
C,1953,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py
C,18576,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py
C,4291,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py
C,4881,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py
C,5163,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py
C,1417,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\wrapper.py
C,1737,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py
C,677,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\__init__.py
C,5399,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py
C,1386,content|database,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\redis_cache.py
C,303,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\__init__.py
C,4486,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\certifi\core.py
D,94,,E:\football_v\.venv\Lib\site-packages\pip\_vendor\certifi\__init__.py
C,255,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\certifi\__main__.py
C,41467,content|rating,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py
A,51160,content|model|feature|rating|database|bet|train,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py
C,20797,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py
B,51026,content|database|train,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py
C,14168,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py
C,5164,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py
B,38724,content|feature|train,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py
C,10820,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py
C,18608,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py
C,66682,content|train,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py
B,23727,content|model|bet|train,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\version.py
C,43979,content|database,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\wheel.py
C,625,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\__init__.py
C,49430,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\distro.py
C,981,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\__init__.py
D,64,,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\__main__.py
C,3422,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\codec.py
C,316,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\compat.py
C,13239,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\core.py
C,78306,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\idnadata.py
C,1898,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\intranges.py
D,21,,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\package_data.py
C,239289,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\uts46data.py
C,868,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\__init__.py
C,1081,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\exceptions.py
C,5726,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\ext.py
C,32390,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\fallback.py
C,1109,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\__init__.py
C,10561,content|rating,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\markers.py
C,34762,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\metadata.py
C,2947,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\requirements.py
C,40098,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py
C,21014,content|feature,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\tags.py
C,5050,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\utils.py
C,16688,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\version.py
C,3306,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_elffile.py
C,9612,content|runtime,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_manylinux.py
C,2694,content|runtime,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_musllinux.py
C,10236,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_parser.py
C,1431,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_structures.py
C,5273,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_tokenizer.py
C,494,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\__init__.py
C,48398,content|runtime,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\_spdx.py
C,5727,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\__init__.py
B,124463,content|feature|runtime|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
C,9007,content|runtime,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\android.py
C,9246,content|runtime,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\api.py
B,6154,content|rating|runtime,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\macos.py
C,10393,content|runtime,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\unix.py
C,411,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\version.py
C,10125,content|runtime,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py
C,22344,content|runtime,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py
C,1505,content|runtime,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__main__.py
C,23656,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py
C,1718,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\console.py
C,1910,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\filter.py
C,4390,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatter.py
C,35349,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
C,1005,content|model,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\modeline.py
C,1891,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\plugin.py
C,3072,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\regexopt.py
C,3092,content|runtime,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\scanner.py
C,7981,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\sphinxext.py
C,6420,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\style.py
C,6226,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\token.py
C,63208,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\unistring.py
C,10031,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\util.py
C,2983,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\__init__.py
C,353,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\__main__.py
B,40392,content|model|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py
C,3320,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\bbcode.py
C,5106,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\groff.py
B,35669,content|feature|runtime|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py
C,23287,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\img.py
C,4981,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\irc.py
C,19306,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
C,5034,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\other.py
C,2218,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\pangomarkup.py
C,11957,content|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\rtf.py
C,7174,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\svg.py
C,4674,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal.py
C,11753,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal256.py
C,4176,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\_mapping.py
C,5385,content,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__init__.py
B,53687,content|runtime|bet,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py
