module,path,capability
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py,VALUE_LAYER|DATA_LAYER
_compat.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
_dists.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
_envs.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py,
candidate.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\candidate.py,MODEL_LAYER|DATA_LAYER
direct_url.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
format_control.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\format_control.py,VALUE_LAYER|FEATURE_LAYER
index.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\index.py,
installation_report.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
link.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
scheme.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\scheme.py,DATA_LAYER
search_scope.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\search_scope.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
selection_prefs.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
target_python.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\target_python.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
wheel.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\wheel.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__init__.py,MODEL_LAYER
auth.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|RUNTIME_LAYER
cache.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER
download.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
lazy_wheel.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER
session.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|FEATURE_LAYER
utils.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\utils.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER
xmlrpc.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py,DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\__init__.py,
check.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py,VALUE_LAYER|PREDICTION_LAYER|DATA_LAYER
freeze.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
prepare.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\__init__.py,
build_tracker.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
metadata.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py,DATA_LAYER
metadata_editable.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py,DATA_LAYER
metadata_legacy.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py,DATA_LAYER
wheel.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py,DATA_LAYER
wheel_editable.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py,DATA_LAYER
wheel_legacy.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py,VALUE_LAYER|FEATURE_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\__init__.py,
editable_legacy.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py,VALUE_LAYER|MODEL_LAYER
wheel.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\__init__.py,
constructors.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
req_file.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
req_install.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
req_set.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER
req_uninstall.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\__init__.py,VALUE_LAYER|DATA_LAYER
base.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\base.py,
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\__init__.py,
resolver.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\__init__.py,
base.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
candidates.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,MODEL_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
factory.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
found_candidates.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py,VALUE_LAYER|BETTING_LAYER|FEATURE_LAYER|DATA_LAYER
provider.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|FEATURE_LAYER
reporter.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py,VALUE_LAYER|MODEL_LAYER|RUNTIME_LAYER|FEATURE_LAYER
requirements.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
resolver.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__init__.py,
appdirs.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\appdirs.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
compat.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\compat.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
compatibility_tags.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\compatibility_tags.py,VALUE_LAYER|FEATURE_LAYER
datetime.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\datetime.py,
deprecation.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
direct_url_helpers.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py,VALUE_LAYER|MODEL_LAYER
egg_link.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\egg_link.py,VALUE_LAYER|DATA_LAYER
entrypoints.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\entrypoints.py,VALUE_LAYER
filesystem.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\filesystem.py,VALUE_LAYER|BETTING_LAYER|FEATURE_LAYER|DATA_LAYER
filetypes.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\filetypes.py,FEATURE_LAYER
glibc.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\glibc.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
hashes.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\hashes.py,VALUE_LAYER|DATA_LAYER
logging.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
misc.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\misc.py,VALUE_LAYER|PREDICTION_LAYER|FEATURE_LAYER|DATA_LAYER
packaging.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\packaging.py,FEATURE_LAYER
retry.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\retry.py,VALUE_LAYER|BETTING_LAYER|FEATURE_LAYER
setuptools_build.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\setuptools_build.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
subprocess.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\subprocess.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
temp_dir.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
unpacking.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
urls.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\urls.py,VALUE_LAYER|FEATURE_LAYER
virtualenv.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\virtualenv.py,VALUE_LAYER|DATA_LAYER
wheel.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\wheel.py,VALUE_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
_jaraco_text.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_jaraco_text.py,VALUE_LAYER|MODEL_LAYER
_log.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_log.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\__init__.py,
bazaar.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\bazaar.py,VALUE_LAYER
git.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\git.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
mercurial.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\mercurial.py,VALUE_LAYER|DATA_LAYER
subversion.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\subversion.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
versioncontrol.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\__init__.py,
typing_extensions.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|FEATURE_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\__init__.py,VALUE_LAYER|BETTING_LAYER|FEATURE_LAYER
adapter.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py,FEATURE_LAYER|DATA_LAYER
cache.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py,VALUE_LAYER|DATA_LAYER
controller.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
filewrapper.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py,VALUE_LAYER|PREDICTION_LAYER|FEATURE_LAYER|DATA_LAYER
heuristics.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
serialize.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
