keyword,count,file
engine,2,E:\football_v\deploy_phase14.py
runtime,1,E:\football_v\deploy_phase14.py
executor,1,E:\football_v\deploy_phase14.py
pipeline,3,E:\football_v\deploy_phase14.py
load,1,E:\football_v\deploy_phase15.py
json,3,E:\football_v\deploy_phase15.py
model,2,E:\football_v\deploy_phase15.py
predict,3,E:\football_v\deploy_phase15.py
prediction,3,E:\football_v\deploy_phase15.py
odds,2,E:\football_v\deploy_phase15.py
market,2,E:\football_v\deploy_phase15.py
value,3,E:\football_v\deploy_phase15.py
engine,2,E:\football_v\deploy_phase15.py
runtime,5,E:\football_v\deploy_phase15.py
data,1,E:\football_v\deploy_phase16.py
json,3,E:\football_v\deploy_phase16.py
database,1,E:\football_v\deploy_phase16.py
db,1,E:\football_v\deploy_phase16.py
feature,3,E:\football_v\deploy_phase16.py
form,1,E:\football_v\deploy_phase16.py
predict,2,E:\football_v\deploy_phase16.py
prediction,2,E:\football_v\deploy_phase16.py
forecast,3,E:\football_v\deploy_phase16.py
engine,3,E:\football_v\deploy_phase16.py
runtime,1,E:\football_v\deploy_phase16.py
executor,1,E:\football_v\deploy_phase16.py
service,3,E:\football_v\deploy_phase16.py
load,1,E:\football_v\deploy_phase17.py
json,3,E:\football_v\deploy_phase17.py
feature,3,E:\football_v\deploy_phase17.py
predict,5,E:\football_v\deploy_phase17.py
prediction,5,E:\football_v\deploy_phase17.py
odds,3,E:\football_v\deploy_phase17.py
engine,1,E:\football_v\deploy_phase17.py
runtime,1,E:\football_v\deploy_phase17.py
executor,2,E:\football_v\deploy_phase17.py
json,5,E:\football_v\deploy_phase18_20.py
db,1,E:\football_v\deploy_phase18_20.py
feature,1,E:\football_v\deploy_phase18_20.py
predict,2,E:\football_v\deploy_phase18_20.py
prediction,2,E:\football_v\deploy_phase18_20.py
probability,1,E:\football_v\deploy_phase18_20.py
score,1,E:\football_v\deploy_phase18_20.py
odds,1,E:\football_v\deploy_phase18_20.py
market,1,E:\football_v\deploy_phase18_20.py
handicap,1,E:\football_v\deploy_phase18_20.py
engine,4,E:\football_v\deploy_phase18_20.py
json,3,E:\football_v\deploy_phase21_25.py
feature,1,E:\football_v\deploy_phase21_25.py
elo,1,E:\football_v\deploy_phase21_25.py
dixon,1,E:\football_v\deploy_phase21_25.py
poisson,1,E:\football_v\deploy_phase21_25.py
xgboost,1,E:\football_v\deploy_phase21_25.py
model,2,E:\football_v\deploy_phase21_25.py
predict,2,E:\football_v\deploy_phase21_25.py
prediction,1,E:\football_v\deploy_phase21_25.py
probability,1,E:\football_v\deploy_phase21_25.py
value,1,E:\football_v\deploy_phase21_25.py
bet,1,E:\football_v\deploy_phase21_25.py
kelly,1,E:\football_v\deploy_phase21_25.py
engine,7,E:\football_v\deploy_phase21_25.py
runtime,5,E:\football_v\deploy_phase21_25.py
json,3,E:\football_v\deploy_phase26_30.py
feature,1,E:\football_v\deploy_phase26_30.py
model,1,E:\football_v\deploy_phase26_30.py
predict,1,E:\football_v\deploy_phase26_30.py
prediction,1,E:\football_v\deploy_phase26_30.py
engine,2,E:\football_v\deploy_phase26_30.py
json,3,E:\football_v\deploy_phase31_35.py
odds,1,E:\football_v\deploy_phase31_35.py
market,3,E:\football_v\deploy_phase31_35.py
handicap,1,E:\football_v\deploy_phase31_35.py
movement,1,E:\football_v\deploy_phase31_35.py
capital,1,E:\football_v\deploy_phase31_35.py
value,1,E:\football_v\deploy_phase31_35.py
engine,5,E:\football_v\deploy_phase31_35.py
runtime,1,E:\football_v\deploy_phase31_35.py
json,3,E:\football_v\deploy_phase36_40.py
history,1,E:\football_v\deploy_phase36_40.py
odds,1,E:\football_v\deploy_phase36_40.py
market,3,E:\football_v\deploy_phase36_40.py
handicap,1,E:\football_v\deploy_phase36_40.py
value,1,E:\football_v\deploy_phase36_40.py
bet,1,E:\football_v\deploy_phase36_40.py
engine,5,E:\football_v\deploy_phase36_40.py
runtime,1,E:\football_v\deploy_phase36_40.py
data,5,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
load,1,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
read,2,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
json,8,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
database,3,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
form,1,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
model,9,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
predict,3,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
prediction,3,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
kelly,1,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
engine,9,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
data,9,E:\football_v\deploy_v15_phase2_patch3.py
engine,20,E:\football_v\deploy_v15_phase2_patch3.py
data,1,E:\football_v\final_acceptance_test.py
json,3,E:\football_v\final_acceptance_test.py
database,1,E:\football_v\final_acceptance_test.py
feature,1,E:\football_v\final_acceptance_test.py
elo,1,E:\football_v\final_acceptance_test.py
dixon,1,E:\football_v\final_acceptance_test.py
poisson,1,E:\football_v\final_acceptance_test.py
xgboost,1,E:\football_v\final_acceptance_test.py
model,5,E:\football_v\final_acceptance_test.py
predict,1,E:\football_v\final_acceptance_test.py
prediction,1,E:\football_v\final_acceptance_test.py
probability,1,E:\football_v\final_acceptance_test.py
market,1,E:\football_v\final_acceptance_test.py
handicap,1,E:\football_v\final_acceptance_test.py
value,1,E:\football_v\final_acceptance_test.py
kelly,1,E:\football_v\final_acceptance_test.py
engine,4,E:\football_v\final_acceptance_test.py
data,3,E:\football_v\phase12_test.py
json,3,E:\football_v\phase12_test.py
feature,1,E:\football_v\phase12_test.py
model,1,E:\football_v\phase12_test.py
predict,1,E:\football_v\phase12_test.py
prediction,1,E:\football_v\phase12_test.py
engine,1,E:\football_v\phase12_test.py
runtime,2,E:\football_v\phase12_test.py
pipeline,1,E:\football_v\phase12_test.py
data,2,E:\football_v\phase13_test.py
json,3,E:\football_v\phase13_test.py
feature,1,E:\football_v\phase13_test.py
model,1,E:\football_v\phase13_test.py
predict,1,E:\football_v\phase13_test.py
prediction,1,E:\football_v\phase13_test.py
engine,2,E:\football_v\phase13_test.py
json,3,E:\football_v\phase14_test.py
query,1,E:\football_v\phase14_test.py
feature,1,E:\football_v\phase14_test.py
model,1,E:\football_v\phase14_test.py
predict,2,E:\football_v\phase14_test.py
prediction,2,E:\football_v\phase14_test.py
engine,2,E:\football_v\phase14_test.py
runtime,1,E:\football_v\phase14_test.py
pipeline,1,E:\football_v\phase14_test.py
json,3,E:\football_v\phase15_test.py
model,1,E:\football_v\phase15_test.py
predict,1,E:\football_v\phase15_test.py
prediction,1,E:\football_v\phase15_test.py
odds,1,E:\football_v\phase15_test.py
market,1,E:\football_v\phase15_test.py
value,1,E:\football_v\phase15_test.py
engine,1,E:\football_v\phase15_test.py
runtime,2,E:\football_v\phase15_test.py
data,1,E:\football_v\phase16_test.py
json,3,E:\football_v\phase16_test.py
database,1,E:\football_v\phase16_test.py
feature,1,E:\football_v\phase16_test.py
predict,1,E:\football_v\phase16_test.py
prediction,1,E:\football_v\phase16_test.py
forecast,1,E:\football_v\phase16_test.py
engine,2,E:\football_v\phase16_test.py
service,1,E:\football_v\phase16_test.py
json,3,E:\football_v\phase17_test.py
feature,1,E:\football_v\phase17_test.py
predict,2,E:\football_v\phase17_test.py
prediction,2,E:\football_v\phase17_test.py
odds,1,E:\football_v\phase17_test.py
engine,1,E:\football_v\phase17_test.py
executor,1,E:\football_v\phase17_test.py
json,3,E:\football_v\phase21_25_test.py
feature,1,E:\football_v\phase21_25_test.py
elo,1,E:\football_v\phase21_25_test.py
dixon,1,E:\football_v\phase21_25_test.py
poisson,1,E:\football_v\phase21_25_test.py
xgboost,1,E:\football_v\phase21_25_test.py
model,2,E:\football_v\phase21_25_test.py
predict,1,E:\football_v\phase21_25_test.py
probability,1,E:\football_v\phase21_25_test.py
value,1,E:\football_v\phase21_25_test.py
bet,1,E:\football_v\phase21_25_test.py
kelly,1,E:\football_v\phase21_25_test.py
engine,7,E:\football_v\phase21_25_test.py
runtime,5,E:\football_v\phase21_25_test.py
json,3,E:\football_v\phase26_30_test.py
feature,1,E:\football_v\phase26_30_test.py
model,1,E:\football_v\phase26_30_test.py
predict,1,E:\football_v\phase26_30_test.py
prediction,1,E:\football_v\phase26_30_test.py
engine,2,E:\football_v\phase26_30_test.py
json,5,E:\football_v\phase36_40_deploy.py
feature,1,E:\football_v\phase36_40_deploy.py
strength,1,E:\football_v\phase36_40_deploy.py
forecast,1,E:\football_v\phase36_40_deploy.py
ev,1,E:\football_v\phase36_40_deploy.py
engine,5,E:\football_v\phase36_40_deploy.py
runtime,2,E:\football_v\phase36_40_deploy.py
json,5,E:\football_v\phase36_40_deploy_test.py
feature,1,E:\football_v\phase36_40_deploy_test.py
strength,1,E:\football_v\phase36_40_deploy_test.py
forecast,1,E:\football_v\phase36_40_deploy_test.py
ev,1,E:\football_v\phase36_40_deploy_test.py
engine,5,E:\football_v\phase36_40_deploy_test.py
runtime,2,E:\football_v\phase36_40_deploy_test.py
json,3,E:\football_v\phase36_40_test.py
history,1,E:\football_v\phase36_40_test.py
odds,1,E:\football_v\phase36_40_test.py
market,2,E:\football_v\phase36_40_test.py
handicap,1,E:\football_v\phase36_40_test.py
value,1,E:\football_v\phase36_40_test.py
bet,1,E:\football_v\phase36_40_test.py
engine,5,E:\football_v\phase36_40_test.py
json,5,E:\football_v\phase41_45_deploy_test.py
feature,1,E:\football_v\phase41_45_deploy_test.py
model,1,E:\football_v\phase41_45_deploy_test.py
predict,3,E:\football_v\phase41_45_deploy_test.py
prediction,3,E:\football_v\phase41_45_deploy_test.py
pipeline,1,E:\football_v\phase41_45_deploy_test.py
service,3,E:\football_v\phase41_45_deploy_test.py
json,5,E:\football_v\phase46_50_deploy_test.py
db,1,E:\football_v\phase46_50_deploy_test.py
model,1,E:\football_v\phase46_50_deploy_test.py
engine,4,E:\football_v\phase46_50_deploy_test.py
data,1,E:\football_v\phase51_55_final_validation.py
json,3,E:\football_v\phase51_55_final_validation.py
database,1,E:\football_v\phase51_55_final_validation.py
db,1,E:\football_v\phase51_55_final_validation.py
feature,1,E:\football_v\phase51_55_final_validation.py
elo,1,E:\football_v\phase51_55_final_validation.py
dixon,1,E:\football_v\phase51_55_final_validation.py
poisson,1,E:\football_v\phase51_55_final_validation.py
xgboost,1,E:\football_v\phase51_55_final_validation.py
model,5,E:\football_v\phase51_55_final_validation.py
predict,2,E:\football_v\phase51_55_final_validation.py
prediction,2,E:\football_v\phase51_55_final_validation.py
odds,1,E:\football_v\phase51_55_final_validation.py
handicap,1,E:\football_v\phase51_55_final_validation.py
value,1,E:\football_v\phase51_55_final_validation.py
runtime,2,E:\football_v\phase51_55_final_validation.py
pipeline,1,E:\football_v\phase51_55_final_validation.py
json,3,E:\football_v\phase51_validation.py
db,3,E:\football_v\phase51_validation.py
feature,1,E:\football_v\phase51_validation.py
elo,1,E:\football_v\phase51_validation.py
dixon,1,E:\football_v\phase51_validation.py
poisson,1,E:\football_v\phase51_validation.py
xgboost,1,E:\football_v\phase51_validation.py
model,3,E:\football_v\phase51_validation.py
predict,1,E:\football_v\phase51_validation.py
probability,1,E:\football_v\phase51_validation.py
value,1,E:\football_v\phase51_validation.py
bet,1,E:\football_v\phase51_validation.py
kelly,1,E:\football_v\phase51_validation.py
engine,8,E:\football_v\phase51_validation.py
runtime,5,E:\football_v\phase51_validation.py
data,2,E:\football_v\phase52_backtest.py
dataset,1,E:\football_v\phase52_backtest.py
json,3,E:\football_v\phase52_backtest.py
database,1,E:\football_v\phase52_backtest.py
db,1,E:\football_v\phase52_backtest.py
feature,1,E:\football_v\phase52_backtest.py
elo,1,E:\football_v\phase52_backtest.py
dixon,1,E:\football_v\phase52_backtest.py
poisson,1,E:\football_v\phase52_backtest.py
xgboost,1,E:\football_v\phase52_backtest.py
model,2,E:\football_v\phase52_backtest.py
predict,1,E:\football_v\phase52_backtest.py
probability,1,E:\football_v\phase52_backtest.py
value,1,E:\football_v\phase52_backtest.py
bet,1,E:\football_v\phase52_backtest.py
kelly,1,E:\football_v\phase52_backtest.py
engine,9,E:\football_v\phase52_backtest.py
runtime,5,E:\football_v\phase52_backtest.py
runtime,1,E:\football_v\start_ai_os.py
feature,1,E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py
form,1,E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py
data,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py
form,7,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py
value,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py
ev,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py
data,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
load,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
read,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
json,9,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
model,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
value,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
ev,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
data,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
load,48,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
read,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
form,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
elo,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
value,17,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
ev,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
data,24,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
load,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
read,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
rating,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
form,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
elo,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
model,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
value,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
ev,7,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
stake,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
load,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
read,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
form,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
value,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
ev,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
data,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
load,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
read,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
json,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
form,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
model,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
value,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
ev,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
data,16,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
load,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
read,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
model,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
train,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
value,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
ev,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
data,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py
ev,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py
feature,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
form,8,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
capital,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
value,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
ev,8,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
data,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
load,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
read,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
feature,12,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
form,43,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
elo,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
model,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
train,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
value,73,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
ev,8,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
bet,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
ev,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py
load,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
feature,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
form,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
elo,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
value,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
ev,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main.py
form,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py
ev,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py
load,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
form,17,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
value,34,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
ev,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
bet,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
load,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py
read,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py
load,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
read,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
feature,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
form,7,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
model,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
train,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
value,8,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
ev,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
read,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
ev,7,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
bet,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
ev,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\status_codes.py
form,20,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
score,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
value,11,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
ev,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
data,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\check.py
form,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\check.py
value,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\check.py
load,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py
form,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py
value,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py
ev,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py
load,8,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
form,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
value,49,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
data,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
load,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
read,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
form,8,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
value,20,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
ev,14,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
load,18,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py
train,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py
value,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py
rating,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
form,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
value,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
ev,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
read,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py
form,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py
value,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py
value,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\help.py
query,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
form,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
model,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
value,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
ev,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
data,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
load,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
json,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
form,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
value,2,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
data,12,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
load,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
read,5,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
json,11,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
form,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
model,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
train,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
value,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
ev,3,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
data,15,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
json,7,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
form,13,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
elo,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
model,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
value,11,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
ev,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
data,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
query,8,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
form,6,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
model,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
fit,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
score,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
value,4,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
data,20,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py
read,1,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py
