line,file
from pip._internal.models.selection_prefs import SelectionPreferences,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
selection_prefs = SelectionPreferences(,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
"selection_prefs=selection_prefs,",E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
always_enabled_features = set(options.features_enabled) & set(,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
cmdoptions.ALWAYS_ENABLED_FEATURES,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
if always_enabled_features:,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
"""The following features are always enabled: %s. "",",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
""", "".join(sorted(always_enabled_features)),",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
# Features that are now always on. A warning is printed if they are used.,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
ALWAYS_ENABLED_FEATURES = [,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
"use_new_feature: Callable[..., Option] = partial(",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
"""--use-feature"",",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
"dest=""features_enabled"",",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
"metavar=""feature"",",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
"+ ALWAYS_ENABLED_FEATURES,",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
"use_deprecated_feature: Callable[..., Option] = partial(",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
"dest=""deprecated_features_enabled"",",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
"metavar=""feature"",",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
"use_new_feature,",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
"use_deprecated_feature,",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
"if ""legacy-certs"" not in options.deprecated_features_enabled:",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
"opts.insert(1, optsep)",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
def insert_option_group(,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
"""""""Insert an OptionGroup at a given position.""""""",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
"self.option_groups.insert(idx, group)",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
from pip._internal.models.selection_prefs import SelectionPreferences,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
"if ""legacy-resolver"" in options.deprecated_features_enabled:",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
"lazy_wheel = ""fast-deps"" in options.features_enabled",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
"""This experimental feature is enabled through """,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
"""--use-feature=fast-deps and it is not ready for """,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
"if ""fast-deps"" in options.features_enabled:",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
selection_prefs = SelectionPreferences(,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
"selection_prefs=selection_prefs,",E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
"help=""Select the output format among: human (default) or abspath"",",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
"self.parser.insert_option_group(0, index_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py
"""comments when generating output. This option can be """,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py
from pip._internal.models.selection_prefs import SelectionPreferences,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
"self.parser.insert_option_group(0, index_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
selection_prefs = SelectionPreferences(,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
"selection_prefs=selection_prefs,",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
"self.parser.insert_option_group(0, index_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
"""conflicts when selecting packages. This behaviour is the """,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
from pip._internal.models.selection_prefs import SelectionPreferences,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
"""Select the output format among: columns (default), freeze, or json. """,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
"self.parser.insert_option_group(0, index_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
selection_prefs = SelectionPreferences(,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
"selection_prefs=selection_prefs,",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
# insert the header first: we need to know the size of column names,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
"data.insert(0, header)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
"pkg_strings.insert(1, "" "".join(""-"" * x for x in sizes))",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py
"self.parser.insert_option_group(0, index_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py
"self.parser.insert_option_group(0, self.cmd_opts)",E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py
# needlessly. Doing it here also works around setuptools generating,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py
from pip._internal.models.selection_prefs import SelectionPreferences,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
the selection of source packages / binary packages when consulting,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
"selection_prefs: SelectionPreferences,",E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
":param selection_prefs: The candidate selection preferences, as a",E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
SelectionPreferences object.,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
"prefer_binary=selection_prefs.prefer_binary,",E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
"allow_all_prereleases=selection_prefs.allow_all_prereleases,",E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
"allow_yanked=selection_prefs.allow_yanked,",E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
"format_control=selection_prefs.format_control,",E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
"ignore_requires_python=selection_prefs.ignore_requires_python,",E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
"# name, this is the one separating the name and version parts.",E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
# CPython decide whether this is a bug or feature. See bpo-43948.,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__init__.py
"This is used to implement PEP 658 by generating a ""shallow"" dist object that can",E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py
"""select_backend"",",E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py
def select_backend() -> Backend:,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py
return select_backend().Environment.default(),E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py
return select_backend().Environment.from_paths(paths),E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py
return select_backend().Distribution.from_directory(directory),E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py
"return select_backend().Distribution.from_wheel(wheel, canonical_name)",E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py
return select_backend().Distribution.from_metadata_file_contents(,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py
# Only allow iterating through the metadata directory.,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py
"installations as well. It's useful feature, after all.",E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py
# was still selected by pip to conform to PEP 592.,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py
class SelectionPreferences:,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py
Encapsulates the candidate selection preferences for downloading,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py
"""""""Create a SelectionPreferences object.",E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py
the selection of source packages / binary packages when consulting,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py
new_resp.history.append(resp),E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py
& 0o666  # select read/write permissions of cache directory,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
"""--use-feature"",",E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
# --use-feature=fast-deps must be provided.,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
"), f""regex group selection for requirement {req} failed, this should never happen""",E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
"cmdoptions.use_new_feature,",E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
if opts.features_enabled:,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
options.features_enabled.extend(,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
f for f in opts.features_enabled if f not in options.features_enabled,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
"return ""build_editable"" in self.pep517_backend._supported_features()",E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
"""""""Set requirement after generating metadata.""""""",E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
"""Generating metadata for package %s """,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
"""The candidate selected for download or install is a """,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py
def _iter_built_with_inserted(,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py
"The implementation iterates through and yields other candidates, inserting",E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py
"iterator = _iter_built_with_inserted(self._installed, infos)",E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py
"""The candidate selected for download or install is a """,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py
"feature_flag: Optional[str] = None,",E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py
feature_flag:,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py
Command-line flag of the form --use-feature={feature_flag} for testing,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py
# Determine whether or not the feature is already gone in this version.,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py
"feature_flag,",E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py
"""You can use the flag --use-feature={} to test the upcoming behaviour.""",E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py
# Python's tarfile module (see below). The features were backported to,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py
"query(""SELECT * FROM table"")  # ok",E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py
"query(f""SELECT * FROM {input()}"")  # not ok",E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py
"# If we're operating in a debundled setup, then we want to go ahead and trigger",E:\football_v\.venv\Lib\site-packages\pip\_vendor\__init__.py
"path.insert(0, os.curdir)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py
def decorating_function(user_function):,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py
return decorating_function,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py
'Dictionary that remembers insertion order',E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py
because their insertion order is arbitrary.,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py
separating the name from the version number.,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py
self.extras = None  # additional features requested,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py
"this distribution, and takes into account any paths selected by the",E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py
# sectioned files have bare newlines (separating sections),E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py
"words.insert(0, 'include')",E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py
"""""""Select strings (presumably filenames) from 'self.files' that",E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py
Selected strings will be added to self.files.,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py
#   - 2.1 adds more features,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py
"run_requires.insert(0, always)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py
"parts.insert(0, self.base)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py
"sys.path.insert(0, pathname)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\wheel.py
"abis.insert(0, ABI)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\wheel.py
"versions.insert(0, self.oslevel_info())",E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\distro.py
The value of :py:data:`os.name`. The name of the operating system dependent module,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\markers.py
# Insert our padding,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py
"left_split.insert(1, [""0""] * max(0, len(right_split[0]) - len(left_split[0])))",E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py
"right_split.insert(1, [""0""] * max(0, len(left_split[0]) - len(right_split[0])))",E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py
"abis.insert(0, f""cp{version}{threading}{debug}{pymalloc}{ucs4}"")",E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\tags.py
# 12.0. 12.0 is the first iOS version that is known to have enough features,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\tags.py
"""""""Distribution doesn't have an ""extra feature"" of the given name""""""",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
"insert: bool = True,",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
if insert:,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
"dist.insert_on(self.entries, entry, replace=replace)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
"""%s has no such extra feature %r"" % (self, ext)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
"self.insert_on(path, replace=replace)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
# FIXME: 'Distribution.insert_on' is too complex (13),E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
def insert_on(  # noqa: C901,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
insert just ahead of the parent.,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
"insert just ahead of the parent,",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
"path.insert(p, loc)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
"npath.insert(p, nloc)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
"path.insert(0, loc)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
# p is the spot where we found or inserted loc; now remove duplicates,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
Platform directories for the macOS operating system.,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\macos.py
# select lexer,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py
"print('Error: when using -s a lexer has to be selected with -l',",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py
# select formatter,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py
# determine output encoding if not explicitly selected,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py
Formatters should have attributes to help selecting them. These,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatter.py
"will not be selected as the most probable one, if it returns",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
"``1.0``, it will be selected immediately.  This is used by",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
insertions = [],E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
"insertions.append((len(buffered), lng_buffer))",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
"insertions.append((len(buffered), lng_buffer))",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
"return do_insertions(insertions,",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
"def do_insertions(insertions, tokens):",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
"``insertions`` is a list of ``(index, itokens)`` pairs.",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
Each ``itokens`` iterable should be inserted at position,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
insertions = iter(insertions),E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
"index, itokens = next(insertions)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
# no insertions,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
# iterate over the token stream where we want to insert,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
# the tokens from the insertion list.,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
"index, itokens = next(insertions)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
"index, itokens = next(insertions)",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
"if hasattr(groups, 'select'):",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\plugin.py
return groups.select(group=group_name),E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\plugin.py
"#: user-friendly style name (used when selecting the style, so this",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\style.py
"Generic.Inserted:              'gi',",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\token.py
`python-ctags` module from PyPI must be installed to use this feature;,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py
argument `arg` can be used to specify additional CSS selectors that,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py
"If you set this option, the default selector for `get_style_defs()`",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py
"If you select the ``'table'`` line numbers, the wrapping table will",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py
"'to be able to use the ""tagsfile"" feature.')",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py
highlighting style. ``arg`` can be a string or list of selectors to,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py
insert before the token type classes.,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py
lines.insert(,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py
lines.insert(,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py
Default: highlight color of the selected style,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\img.py
"Generic.Inserted:   ('green',  'brightgreen'),",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\irc.py
"from pip._vendor.pygments.lexer import Lexer, do_insertions",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
# \PY and selectable by the commandprefix option (and in addition the,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
insertions = [],E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
insertion_buf = [],E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
if insertion_buf:,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
"insertions.append((len(buffered), insertion_buf))",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
insertion_buf = [],E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
"insertion_buf.append((i, t, v))",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
if insertion_buf:,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
"insertions.append((len(buffered), insertion_buf))",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
"return do_insertions(insertions,",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
"Generic.Inserted:   ('green',  'brightgreen'),",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal.py
self._setup_styles()  # convert selected style's colors to term. colors,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal256.py
"'inner', 'insert', 'int_asbuffer', 'interp', 'intersect1d',",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py
"'sample', 'savetxt', 'sctype2char', 'searchsorted', 'seed', 'select',",E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py
