keyword,file,count
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\codec.py,4
normalization,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\core.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\core.py,12
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\intranges.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\exceptions.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\fallback.py,8
rating,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\markers.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\markers.py,30
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\markers.py,1
historical,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\metadata.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\metadata.py,24
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\requirements.py,3
recent,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py,1
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py,5
feature,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\tags.py,1
features,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\tags.py,1
previous,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\tags.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\tags.py,115
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\utils.py,2
recent,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\version.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\version.py,2
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\version.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_elffile.py,4
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_manylinux.py,7
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_manylinux.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_musllinux.py,7
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_parser.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_tokenizer.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\_spdx.py,4
recent,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\__init__.py,1
fitness,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\__init__.py,1
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\__init__.py,1
feature,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,2
recent,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,3
previous,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,3
power,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,81
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,4
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\android.py,8
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\api.py,3
rating,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\macos.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\macos.py,13
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\unix.py,19
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py,15
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py,251
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__main__.py,7
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py,64
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\console.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatter.py,26
transform,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py,2
recent,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\plugin.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\plugin.py,12
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\regexopt.py,5
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\sphinxext.py,11
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\style.py,5
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\token.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\util.py,4
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\util.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\__init__.py,28
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\__init__.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py,1
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py,3
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\bbcode.py,14
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\groff.py,12
feature,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py,48
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py,5
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\img.py,39
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\irc.py,14
previous,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py,22
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\other.py,28
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\pangomarkup.py,11
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\rtf.py,16
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\svg.py,13
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal.py,15
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal256.py,26
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal256.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\_mapping.py,57
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__init__.py,69
recent,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py,4
rank,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py,1
power,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py,1
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py,18
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py,1
feature,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py,2
history,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py,2
power,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py,6
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py,16
rest,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py,4
rating,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py,2
form,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py,1
feature,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py,3
features,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py,3
previous,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py,2
previous,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\__init__.py,1
