size,imports,features,rows,entry_function,file,called_function,functions,dependency,layers,class,module,table,keywords,sql,lines,function,error,reason,migration,source,status,path,columns,classes,capability,line,database,count,keyword
,2,,,,E:\football_v\phase15_test.py,,0,,,,,,,,62,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,2,,,,E:\football_v\phase16_test.py,,0,,,,,,,,64,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,2,,,,E:\football_v\phase17_test.py,,0,,,,,,,,35,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,,,,,E:\football_v\phase1_python_asset_scan.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,2,,,,E:\football_v\phase21_25_test.py,,0,,,,,,,,35,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,2,,,,E:\football_v\phase26_30_test.py,,0,,,,,,,,33,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\phase36_40_deploy.py,,0,,,,,,,,64,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\phase36_40_deploy_test.py,,0,,,,,,,,69,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,2,,,,E:\football_v\phase36_40_test.py,,0,,,,,,,,30,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\phase41_45_deploy_test.py,,0,,,,,,,,65,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\phase46_50_deploy_test.py,,0,,,,,,,,96,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\phase51_55_final_validation.py,,0,,,,,,,,117,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\phase51_validation.py,,0,,,,,,,,65,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\phase52_backtest.py,,0,,,,,,,,99,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,,,,,E:\football_v\release_final_patch_V2.0.1.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,,,,,E:\football_v\release_integration_V2.0.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,,,,,E:\football_v\release_validation_V1.5.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,1,,,,E:\football_v\start_ai_os.py,,0,,,,,,,,4,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,,,,,E:\football_v\test_ai_intelligence_V2.0.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,,,,,E:\football_v\validate_release_V2.0.py,,,,,,,,,,,,"invalid non-printable character U+FEFF (<unknown>, line 1)",,,Python_Asset_Index_V1.0.csv,,,,,,,,,
,2,,,,E:\football_v\.venv\Lib\site-packages\pip\__init__.py,,1,,,,,,,,13,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\.venv\Lib\site-packages\pip\__main__.py,,0,,,,,,,,24,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,4,,,,E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py,,2,,,,,,,,50,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,19,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,,15,,,,,,,,322,,,,,Python_Asset_Index_V1.0.csv,,,,3,,,,,
,14,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,,17,,,,,,,,290,,,,,Python_Asset_Index_V1.0.csv,,,,5,,,,,
,10,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,,24,,,,,,,,383,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,20,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,,44,,,,,,,,809,,,,,Python_Asset_Index_V1.0.csv,,,,36,,,,,
,2,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\main.py,,1,,,,,,,,12,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,10,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,,3,,,,,,,,185,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,24,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,,11,,,,,,,,252,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,23,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,,11,,,,,,,,354,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,3,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\__init__.py,,1,,,,,,,,18,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,8,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,,3,,,,,,,,176,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,22,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,,9,,,,,,,,240,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,17,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,,28,,,,,,,,1075,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,2,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py,,3,,,,,,,,27,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,14,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,,7,,,,,,,,171,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,11,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main.py,,1,,,,,,,,80,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,10,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py,,3,,,,,,,,134,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,10,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py,,17,,,,,,,,294,,,,,Python_Asset_Index_V1.0.csv,,,,4,,,,,
,6,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py,,4,,,,,,,,94,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,23,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py,,10,,,,,,,,329,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,8,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py,,15,,,,,,,,159,,,,,Python_Asset_Index_V1.0.csv,,,,4,,,,,
,0,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\status_codes.py,,0,,,,,,,,6,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,0,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\__init__.py,,0,,,,,,,,4,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,10,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py,,12,,,,,,,,228,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,9,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\check.py,,1,,,,,,,,67,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,7,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py,,2,,,,,,,,130,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,11,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py,,14,,,,,,,,280,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,19,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py,,11,,,,,,,,201,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,12,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py,,2,,,,,,,,146,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,8,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py,,4,,,,,,,,109,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,9,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py,,3,,,,,,,,59,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,6,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\help.py,,1,,,,,,,,41,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,15,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py,,4,,,,,,,,139,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,12,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py,,3,,,,,,,,92,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,31,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py,,9,,,,,,,,784,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,18,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py,,13,,,,,,,,375,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,18,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py,,7,,,,,,,,172,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,9,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py,,5,,,,,,,,224,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,12,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py,,2,,,,,,,,114,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,15,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py,,2,,,,,,,,182,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,5,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__init__.py,,2,,,,,,,,132,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,5,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\base.py,,4,,,,,,,,53,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,4,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\installed.py,,3,,,,,,,,29,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,8,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py,,9,,,,,,,,158,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,5,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\wheel.py,,3,,,,,,,,42,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,4,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\__init__.py,,1,,,,,,,,21,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,25,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,,26,,,,,,,,494,,,,,Python_Asset_Index_V1.0.csv,,,,8,,,,,
,30,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,,41,,,,,,,,1029,,,,,Python_Asset_Index_V1.0.csv,,,,6,,,,,
,10,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py,,25,,,,,,,,284,,,,,Python_Asset_Index_V1.0.csv,,,,6,,,,,
,0,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\__init__.py,,0,,,,,,,,2,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,9,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\base.py,,4,,,,,,,,81,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,13,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py,,5,,,,,,,,172,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,9,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py,,8,,,,,,,,214,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,17,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__init__.py,,18,,,,,,,,456,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,21,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,,59,,,,,,,,688,,,,,Python_Asset_Index_V1.0.csv,,,,7,,,,,
,16,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py,,32,,,,,,,,301,,,,,Python_Asset_Index_V1.0.csv,,,,4,,,,,
,3,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\_json.py,,3,,,,,,,,86,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,9,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py,,7,,,,,,,,128,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,4,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py,,7,,,,,,,,85,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,17,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py,,22,,,,,,,,228,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,20,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py,,14,,,,,,,,189,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,2,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py,,0,,,,,,,,6,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,4,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\candidate.py,,2,,,,,,,,25,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,5,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py,,21,,,,,,,,224,,,,,Python_Asset_Index_V1.0.csv,,,,5,,,,,
,3,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\format_control.py,,6,,,,,,,,78,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,1,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\index.py,,2,,,,,,,,28,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,4,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py,,3,,,,,,,,56,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,16,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py,,45,,,,,,,,604,,,,,Python_Asset_Index_V1.0.csv,,,,4,,,,,
,1,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\scheme.py,,0,,,,,,,,25,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,11,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\search_scope.py,,4,,,,,,,,127,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,2,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py,,1,,,,,,,,53,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,5,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\target_python.py,,4,,,,,,,,121,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,7,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\wheel.py,,5,,,,,,,,118,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,0,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__init__.py,,0,,,,,,,,2,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,19,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,,28,,,,,,,,566,,,,,Python_Asset_Index_V1.0.csv,,,,6,,,,,
,9,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py,,10,,,,,,,,118,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,14,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py,,10,,,,,,,,187,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,10,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py,,20,,,,,,,,210,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,36,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,,14,,,,,,,,523,,,,,Python_Asset_Index_V1.0.csv,,,,7,,,,,
,3,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\utils.py,,2,,,,,,,,98,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,9,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py,,2,,,,,,,,62,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,0,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\__init__.py,,0,,,,,,,,2,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,13,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py,,6,,,,,,,,181,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,13,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py,,6,,,,,,,,256,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,28,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py,,21,,,,,,,,732,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,0,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\__init__.py,,0,,,,,,,,0,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,8,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py,,10,,,,,,,,138,,,,,Python_Asset_Index_V1.0.csv,,,,2,,,,,
,6,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py,,1,,,,,,,,39,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,6,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py,,1,,,,,,,,42,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,8,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py,,2,,,,,,,,74,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,5,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py,,1,,,,,,,,37,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,5,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py,,1,,,,,,,,46,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,6,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py,,3,,,,,,,,102,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,0,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\__init__.py,,0,,,,,,,,0,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,6,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py,,1,,,,,,,,47,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,28,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,,36,,,,,,,,741,,,,,Python_Asset_Index_V1.0.csv,,,,5,,,,,
,0,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\__init__.py,,0,,,,,,,,2,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,20,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py,,19,,,,,,,,560,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,18,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,,22,,,,,,,,623,,,,,Python_Asset_Index_V1.0.csv,,,,4,,,,,
,40,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,,41,,,,,,,,934,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,5,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py,,9,,,,,,,,82,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,15,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py,,30,,,,,,,,633,,,,,Python_Asset_Index_V1.0.csv,,,,3,,,,,
,8,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\__init__.py,,2,,,,,,,,90,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,3,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\base.py,,2,,,,,,,,20,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,0,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\__init__.py,,0,,,,,,,,0,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,23,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py,,14,,,,,,,,597,,,,,Python_Asset_Index_V1.0.csv,,,,1,,,,,
,0,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\__init__.py,,0,,,,,,,,0,,,,,Python_Asset_Index_V1.0.csv,,,,0,,,,,
,8,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py,,21,,,,,,,,139,,,,,Python_Asset_Index_V1.0.csv,,,,3,,,,,
,16,,,,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,,57,,,,,,,,574,,,,,Python_Asset_Index_V1.0.csv,,,,6,,,,,
