function,file
__str__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__str__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__str__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__str__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__str__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__str__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
append,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__str__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__bool__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
body,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__str__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
_requirement_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
body,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
body,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
_hash_comparison,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__str__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
_iter_externally_managed_error_keys,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
from_config,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
hash_then_or,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
main,E:\football_v\.venv\Lib\site-packages\pip\_internal\main.py
_is_list_of_str,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
make_pyproject_path,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
load_pyproject_toml,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
_get_statefile_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
_convert_date,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
was_installed_by_pip,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
_get_current_remote_pip_version,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
_self_version_check_logic,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
pip_self_version_check,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
key,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
get,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
set,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
__rich__,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
_contains_egg_info,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
_should_build,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
should_build_for_wheel_command,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
should_build_for_install_command,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
_should_cache,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
_get_cache_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
_verify_one,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
_build_one,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
_build_one_inside_env,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
_clean_one_legacy,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
build,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
main,E:\football_v\.venv\Lib\site-packages\pip\_internal\__init__.py
autocomplete,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py
get_path_completion_type,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py
auto_complete_paths,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
handle_pip_version_check,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
_run_wrapper,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
parse_args,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
main,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
_main,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
_inner_run,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
raise_option_error,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
make_option_group,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
check_dist_restriction,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
_path_option_check,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
_package_name_option_check,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
exists_action,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
extra_index_url,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
find_links,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
trusted_host,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
constraints,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
requirements,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
editable,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
_handle_src,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
_get_format_control,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
_handle_no_binary,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
_handle_only_binary,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
no_binary,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
only_binary,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
_convert_python_version,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
_handle_python_version,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
add_target_python_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
make_target_python,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
prefer_binary,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
_handle_no_cache_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
_handle_no_use_pep517,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
_handle_config_settings,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
_handle_merge_hash,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
check_list_path_option,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py
main_context,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py
enter_context,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py
_create_truststore_ssl_context,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
_pip_self_version_check,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
_get_index_urls,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
get_default_session,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
_build_session,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
handle_pip_version_check,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
main,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main.py
create_main_parser,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py
identify_python_interpreter,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py
parse_command,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
format_option_strings,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
_format_option_strings,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
format_heading,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
format_usage,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
format_description,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
format_epilog,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
indent_lines,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
expand_default,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
insert_option_group,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
option_list_all,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
check_default,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
_get_ordered_configuration_items,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
_update_defaults,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
get_default_values,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
error,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
_rich_progress_bar,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py
_raw_progress_bar,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py
get_download_progress_renderer,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py
write_progress,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py
with_cleanup,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
configure_tempdir_registry,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
wrapper,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
determine_resolver_variant,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
make_requirement_preparer,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
make_resolver,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
get_requirements,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
trace_basic_info,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
_build_package_finder,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
open_spinner,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
hidden_cursor,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
spin,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
finish,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
_write,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
spin,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
finish,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
_update,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
spin,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
finish,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
ready,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
reset,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
get_cache_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
get_cache_info,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
list_cache_items,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
format_for_human,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
format_for_abspath,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
remove_cache_items,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
purge_cache,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
_cache_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
_find_http_files,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
_find_wheels,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\check.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
_determine_file,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
list_values,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
get_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
set_name_value,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
unset_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
list_config_values,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
print_config_file_values,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
print_env_var_values,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
open_in_editor,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
_get_n_args,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
_save_configuration,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
_determine_editor,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
show_value,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
show_sys_implementation,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
create_vendor_txt_map,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
get_module_from_module_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
get_vendor_version_from_module,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
show_actual_vendor_versions,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
show_vendor_versions,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
show_tags,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
ca_bundle_info,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py
_should_suppress_build_backends,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
_dev_pkgs,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
_hash_of_file,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\help.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
_build_package_finder,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
get_available_package_versions,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
_dist_to_dict,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
get_lib_location_guesses,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
site_packages_writable,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
decide_user_install,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
create_os_error_message,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
_handle_target_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
_determine_conflicts,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
_warn_about_conflicts,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
format_for_columns,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
format_for_json,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
handle_pip_version_check,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
_build_package_finder,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
get_outdated,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
get_uptodate,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
get_not_required,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
iter_packages_latest_infos,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
output_package_listing,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
output_package_listing_columns,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
latest_info,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
transform_hits,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
print_dist_installation_info,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
print_results,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
highest_version,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
search,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
search_packages_info,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py
print_results,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py
_get_requiring_packages,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py
add_options,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py
run,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py
create_command,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__init__.py
get_similar_commands,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__init__.py
__init__,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\base.py
build_tracker_id,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\base.py
get_metadata_distribution,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\base.py
prepare_distribution_metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\base.py
build_tracker_id,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\installed.py
get_metadata_distribution,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\installed.py
prepare_distribution_metadata,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\installed.py
build_tracker_id,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py
