Old_Path,New_Path,Status,Reason,Time
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\__pycache__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\architecture_classifier\__pycache__,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\architecture_classifier\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\architecture_scanner\__pycache__,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\architecture_scanner\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\config\__pycache__,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\config\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.347848
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\__pycache__,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\00_System_OS\Automation\task_manager\task_history.json,E:\football_v\00_System_OS\Automation\task_manager\ARCHIVE_task_history.json,RENAMED,Historical asset,2026-07-25 14:11:05.363469
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_TASK_TEMPLATE.txt,E:\football_v\00_System_OS\documentation\checkpoint\TEMP_FOOTBALL_AI_OS_DEVELOPMENT_TASK_TEMPLATE.txt,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_VERSION_INFO_TEMPLATE.txt,E:\football_v\00_System_OS\documentation\checkpoint\TEMP_FOOTBALL_AI_OS_VERSION_INFO_TEMPLATE.txt,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\00_System_OS\File_Manager\lifecycle\lifecycle_history.json,E:\football_v\00_System_OS\File_Manager\lifecycle\ARCHIVE_lifecycle_history.json,RENAMED,Historical asset,2026-07-25 14:11:05.363469
E:\football_v\00_System_OS\project_management\archive\version_history,E:\football_v\00_System_OS\project_management\archive\ARCHIVE_version_history,RENAMED,Historical asset,2026-07-25 14:11:05.363469
E:\football_v\00_System_OS\registry\module_template.json,E:\football_v\00_System_OS\registry\TEMP_module_template.json,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\00_System_OS\scripts\legacy_archive_finalize_v12.ps1,E:\football_v\00_System_OS\scripts\ARCHIVE_legacy_archive_finalize_v12.ps1,RENAMED,Historical asset,2026-07-25 14:11:05.363469
E:\football_v\00_System_OS\scripts\legacy_cleanup_v10.ps1,E:\football_v\00_System_OS\scripts\ARCHIVE_legacy_cleanup_v10.ps1,RENAMED,Historical asset,2026-07-25 14:11:05.363469
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\templates,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\TEMP_templates,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\__pycache__,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\__pycache__,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\01_Data_Archive\history,E:\football_v\01_Data_Archive\ARCHIVE_history,RENAMED,Historical asset,2026-07-25 14:11:05.363469
E:\football_v\01_Data_Source\download\download_history.json,E:\football_v\01_Data_Source\download\ARCHIVE_download_history.json,RENAMED,Historical asset,2026-07-25 14:11:05.363469
E:\football_v\01_Data_Source\pipeline\__pycache__,E:\football_v\01_Data_Source\pipeline\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\02_Data_Platform\data_manager\__pycache__,E:\football_v\02_Data_Platform\data_manager\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\02_Data_Platform\raw\__pycache__,E:\football_v\02_Data_Platform\raw\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\03_Data_Governance\Football_AI_OS_Legacy_Asset_Index_V1.0.zip,E:\football_v\03_Data_Governance\ARCHIVE_Football_AI_OS_Legacy_Asset_Index_V1.0.zip,RENAMED,Historical asset,2026-07-25 14:11:05.363469
E:\football_v\04_Data_Processing_AI\data_intelligence_engine\__pycache__,E:\football_v\04_Data_Processing_AI\data_intelligence_engine\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\04_Data_Processing_AI\dynamic_feature_weight_engine\__pycache__,E:\football_v\04_Data_Processing_AI\dynamic_feature_weight_engine\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\04_Data_Processing_AI\feature_store\elo_history_feature_engine.py,E:\football_v\04_Data_Processing_AI\feature_store\ARCHIVE_elo_history_feature_engine.py,RENAMED,Historical asset,2026-07-25 14:11:05.363469
E:\football_v\04_Data_Processing_AI\feature_store\feature_cache_manager.py,E:\football_v\04_Data_Processing_AI\feature_store\TEMP_feature_cache_manager.py,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\04_Data_Processing_AI\feature_store\adapters\__pycache__,E:\football_v\04_Data_Processing_AI\feature_store\adapters\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\05_AI_Intelligence_Layer\FUSION_DECISION_ENGINE\__pycache__,E:\football_v\05_AI_Intelligence_Layer\FUSION_DECISION_ENGINE\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.363469
E:\football_v\05_AI_Intelligence_Layer\MODEL_ADAPTER_FRAMEWORK\__pycache__,E:\football_v\05_AI_Intelligence_Layer\MODEL_ADAPTER_FRAMEWORK\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.379092
E:\football_v\05_AI_Intelligence_Layer\MODEL_EVALUATION_ENGINE\__pycache__,E:\football_v\05_AI_Intelligence_Layer\MODEL_EVALUATION_ENGINE\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.379092
E:\football_v\05_AI_Intelligence_Layer\MODEL_REGISTRY\__pycache__,E:\football_v\05_AI_Intelligence_Layer\MODEL_REGISTRY\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.379092
E:\football_v\05_AI_Intelligence_Layer\SELF_REFLECTION_ENGINE\__pycache__,E:\football_v\05_AI_Intelligence_Layer\SELF_REFLECTION_ENGINE\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.379092
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\advanced_model_connector\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\advanced_model_connector\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\confidence_calibration\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\confidence_calibration\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\confidence_engine\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\confidence_engine\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\knockout_extension\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\knockout_extension\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\model_connector\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\model_connector\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\prediction_api\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\prediction_api\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\probability_engine\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\probability_engine\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\real_probability_engine\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\real_probability_engine\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\regular_time_prediction\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\regular_time_prediction\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\risk_engine\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\risk_engine\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\risk_intelligence_engine\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\risk_intelligence_engine\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\score_prediction\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\score_prediction\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\score_probability_engine\__pycache__,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\score_probability_engine\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\07_AI_ORCHESTRATION_LAYER\data_pipeline\__pycache__,E:\football_v\07_AI_ORCHESTRATION_LAYER\data_pipeline\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\07_AI_ORCHESTRATION_LAYER\decision_interface\__pycache__,E:\football_v\07_AI_ORCHESTRATION_LAYER\decision_interface\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\07_AI_ORCHESTRATION_LAYER\learning_hook\__pycache__,E:\football_v\07_AI_ORCHESTRATION_LAYER\learning_hook\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\07_AI_ORCHESTRATION_LAYER\learning_hook\backup_feedback_receiver_V1.0.py,E:\football_v\07_AI_ORCHESTRATION_LAYER\learning_hook\ARCHIVE_backup_feedback_receiver_V1.0.py,RENAMED,Historical asset,2026-07-25 14:11:05.382017
E:\football_v\07_AI_ORCHESTRATION_LAYER\model_router\__pycache__,E:\football_v\07_AI_ORCHESTRATION_LAYER\model_router\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\07_AI_ORCHESTRATION_LAYER\orchestration_core\__pycache__,E:\football_v\07_AI_ORCHESTRATION_LAYER\orchestration_core\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\07_AI_ORCHESTRATION_LAYER\report_engine\__pycache__,E:\football_v\07_AI_ORCHESTRATION_LAYER\report_engine\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\07_AI_ORCHESTRATION_LAYER\workflow_monitor\__pycache__,E:\football_v\07_AI_ORCHESTRATION_LAYER\workflow_monitor\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\08_DECISION_INTELLIGENCE_LAYER\feedback_interface\backup,E:\football_v\08_DECISION_INTELLIGENCE_LAYER\feedback_interface\ARCHIVE_backup,RENAMED,Historical asset,2026-07-25 14:11:05.382017
E:\football_v\08_DECISION_INTELLIGENCE_LAYER\feedback_interface\__pycache__,E:\football_v\08_DECISION_INTELLIGENCE_LAYER\feedback_interface\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\09_Prediction_System\__pycache__,E:\football_v\09_Prediction_System\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.382017
E:\football_v\09_Prediction_System\prediction_history.py,E:\football_v\09_Prediction_System\ARCHIVE_prediction_history.py,RENAMED,Historical asset,2026-07-25 14:11:05.382017
E:\football_v\09_Prediction_System\tests\__pycache__,E:\football_v\09_Prediction_System\tests\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.397643
E:\football_v\10_AI_AUTONOMOUS_ENGINE\__pycache__,E:\football_v\10_AI_AUTONOMOUS_ENGINE\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.398913
E:\football_v\10_AI_AUTONOMOUS_ENGINE\optimization_history.py,E:\football_v\10_AI_AUTONOMOUS_ENGINE\ARCHIVE_optimization_history.py,RENAMED,Historical asset,2026-07-25 14:11:05.398913
E:\football_v\10_AI_AUTONOMOUS_ENGINE\upgrade_history_repository.py,E:\football_v\10_AI_AUTONOMOUS_ENGINE\ARCHIVE_upgrade_history_repository.py,RENAMED,Historical asset,2026-07-25 14:11:05.398913
E:\football_v\10_AI_AUTONOMOUS_ENGINE\tests\.pytest_cache,E:\football_v\10_AI_AUTONOMOUS_ENGINE\tests\TEMP_.pytest_cache,RENAMED,Temporary asset,2026-07-25 14:11:05.398913
E:\football_v\10_AI_AUTONOMOUS_ENGINE\tests\__pycache__,E:\football_v\10_AI_AUTONOMOUS_ENGINE\tests\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.398913
E:\football_v\11_System_Intelligence\__pycache__,E:\football_v\11_System_Intelligence\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.398913
E:\football_v\11_System_Intelligence\tests\__pycache__,E:\football_v\11_System_Intelligence\tests\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.398913
