"FullName","CreationTime","LastWriteTime"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\merge_architecture_V1.0.py","2026-07-23 13:15:33","2026-07-23 13:15:33"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\merge_architecture_V1.1.py","2026-07-23 13:17:40","2026-07-23 13:17:40"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\merge_config_V1.0.json","2026-07-23 13:15:33","2026-07-23 13:16:58"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\MERGE_README.md","2026-07-23 13:14:54","2026-07-23 13:14:54"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\migration_executor_V1.2.py","2026-07-23 13:21:46","2026-07-23 13:21:46"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\validate_architecture_V1.1.py","2026-07-23 13:18:32","2026-07-23 13:18:32"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\cleanup_engine\cleanup_planner_V1.2.py","2026-07-23 13:20:51","2026-07-23 13:20:51"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\dependency_migration\dependency_migration_engine_V1.5.py","2026-07-23 13:31:56","2026-07-23 13:31:56"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_MERGE_CHECKPOINT_V1.1.json","2026-07-23 13:17:41","2026-07-23 13:17:41"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_VALIDATION_CHECKPOINT_V1.1.json","2026-07-23 13:18:33","2026-07-23 13:18:33"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_VALIDATION_REPORT_V1.1.json","2026-07-23 13:18:33","2026-07-23 13:18:33"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\CONSOLIDATION_REPORT_V1.4.json","2026-07-23 13:24:46","2026-07-23 13:24:46"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\FINAL_DELETE_REPORT_V1.9.json","2026-07-23 13:36:56","2026-07-23 13:36:56"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\MERGE_ANALYSIS_REPORT_V1.0.json","2026-07-23 13:15:33","2026-07-23 13:16:58"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\MERGE_EXECUTION_REPORT_V1.1.json","2026-07-23 13:17:41","2026-07-23 13:17:41"
"E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\MIGRATION_EXECUTION_REPORT_V1.2.json","2026-07-23 13:21:47","2026-07-23 13:21:47"
"E:\football_v\00_SYSTEM_TOOLS\FINAL_DEPLOYMENT_V4.0\deploy_final_V4.0.py","2026-07-23 14:31:15","2026-07-23 14:31:15"
"E:\football_v\00_SYSTEM_TOOLS\FIRST_REAL_PREDICTION_TEST_V4.0\first_real_prediction_test_V4.0.py","2026-07-23 14:32:45","2026-07-23 14:32:45"
"E:\football_v\00_SYSTEM_TOOLS\RUNTIME_VALIDATION_V4.0\runtime_validation_V4.0.py","2026-07-23 14:32:08","2026-07-23 14:32:08"
"E:\football_v\01_DATA_LAYER\database\match_data.db","2026-07-22 18:59:37","2026-07-23 18:12:50"
"E:\football_v\02_FEATURE_LAYER\database\feature_store.db","2026-07-22 18:59:37","2026-07-23 18:12:51"
"E:\football_v\03_MODEL_LAYER\analysis\accuracy_tracker_V2.11.py","2026-07-23 22:58:16","2026-07-23 22:58:16"
"E:\football_v\03_MODEL_LAYER\analysis\roi_analyzer_V2.11.py","2026-07-23 22:58:16","2026-07-23 22:58:16"
"E:\football_v\03_MODEL_LAYER\confidence_model\confidence_engine_V2.0.py","2026-07-23 20:05:57","2026-07-23 20:05:57"
"E:\football_v\03_MODEL_LAYER\database\model_store.db","2026-07-22 18:59:37","2026-07-23 18:12:51"
"E:\football_v\03_MODEL_LAYER\database\model_store_v23.db","2026-07-23 20:05:57","2026-07-23 20:05:57"
"E:\football_v\03_MODEL_LAYER\fusion_engine\fusion_engine_V2.3.py","2026-07-23 20:05:57","2026-07-23 20:05:57"
"E:\football_v\03_MODEL_LAYER\market_model\market_value_model_V1.0.py","2026-07-23 20:05:57","2026-07-23 20:05:57"
"E:\football_v\03_MODEL_LAYER\reports\model_feedback_report_V2.11.json","2026-07-23 22:58:16","2026-07-23 22:58:16"
"E:\football_v\03_MODEL_LAYER\risk_model\risk_engine_V2.0.py","2026-07-23 20:05:57","2026-07-23 20:05:57"
"E:\football_v\03_MODEL_LAYER\runtime\model_feedback_runtime.db","2026-07-23 22:58:16","2026-07-23 22:58:16"
"E:\football_v\04_PREDICTION_LAYER\database\prediction_service.db","2026-07-23 19:23:25","2026-07-23 19:54:10"
"E:\football_v\04_PREDICTION_LAYER\engine\match_simulation_engine_V2.7.py","2026-07-23 20:13:20","2026-07-23 20:13:20"
"E:\football_v\04_PREDICTION_LAYER\engine\prediction_intelligence_engine_V1.6.py","2026-07-23 19:38:41","2026-07-23 19:38:41"
"E:\football_v\04_PREDICTION_LAYER\engine\prediction_pipeline_V1.6.py","2026-07-23 19:36:30","2026-07-23 19:36:30"
"E:\football_v\04_PREDICTION_LAYER\monitor\prediction_monitor.py","2026-07-23 19:36:30","2026-07-23 19:36:30"
"E:\football_v\04_PREDICTION_LAYER\monitor\prediction_monitor_V1.6.py","2026-07-23 19:38:41","2026-07-23 19:38:41"
"E:\football_v\04_PREDICTION_LAYER\runtime\api_runtime.db","2026-07-23 19:48:34","2026-07-23 19:48:34"
"E:\football_v\04_PREDICTION_LAYER\runtime\prediction_runtime.db","2026-07-23 19:26:31","2026-07-23 19:26:31"
"E:\football_v\04_PREDICTION_LAYER\service\prediction_service_api.py","2026-07-23 19:36:30","2026-07-23 19:36:30"
"E:\football_v\04_PREDICTION_LAYER\service\prediction_service_V1.6.py","2026-07-23 19:38:41","2026-07-23 19:38:41"
"E:\football_v\05_MARKET_LAYER\database\market_value.db","2026-07-23 19:48:34","2026-07-23 19:48:35"
"E:\football_v\06_RISK_LAYER\database\risk_manager.db","2026-07-23 19:48:35","2026-07-23 19:48:35"
"E:\football_v\07_AI_ORCHESTRATION_LAYER\learning_hook\feedback_receiver.py","2026-07-22 14:18:31","2026-07-24 10:17:59"
"E:\football_v\07_AI_ORCHESTRATION_LAYER\learning_hook\__pycache__\feedback_receiver.cpython-312.pyc","2026-07-24 10:19:38","2026-07-24 10:19:38"
"E:\football_v\07_LEARNING_LAYER\database\learning_feedback.db","2026-07-23 19:48:35","2026-07-24 07:31:56"
"E:\football_v\08_DECISION_INTELLIGENCE_LAYER\feedback_interface\feedback_connector.py","2026-07-22 14:59:09","2026-07-24 07:28:21"
"E:\football_v\08_DECISION_INTELLIGENCE_LAYER\feedback_interface\__pycache__\feedback_connector.cpython-312.pyc","2026-07-24 07:31:56","2026-07-24 07:31:56"
"E:\football_v\08_DECISION_LAYER\database\decision_history.db","2026-07-23 20:08:05","2026-07-23 20:08:05"
"E:\football_v\08_DECISION_LAYER\engine\decision_engine_V2.4.py","2026-07-23 20:08:05","2026-07-23 20:08:05"
"E:\football_v\08_DECISION_LAYER\engine\recommendation_engine.py","2026-07-23 20:08:05","2026-07-23 20:08:05"
"E:\football_v\08_DECISION_LAYER\monitor\decision_monitor.py","2026-07-23 20:08:05","2026-07-23 20:08:05"
"E:\football_v\08_DECISION_LAYER\service\decision_service.py","2026-07-23 20:08:05","2026-07-23 20:08:05"
"E:\football_v\09_APPLICATION_LAYER\api\decision_api.py","2026-07-23 20:09:45","2026-07-23 20:09:45"
"E:\football_v\09_APPLICATION_LAYER\api\prediction_api.py","2026-07-23 20:09:45","2026-07-23 20:09:45"
"E:\football_v\09_APPLICATION_LAYER\interface\match_analysis.py","2026-07-23 20:09:45","2026-07-23 20:09:45"
"E:\football_v\09_APPLICATION_LAYER\runtime\application_runtime.db","2026-07-23 20:09:45","2026-07-23 20:09:45"
"E:\football_v\09_APPLICATION_LAYER\service\football_ai_service.py","2026-07-23 20:09:45","2026-07-23 20:09:45"
"E:\football_v\10_INTEGRATION_LAYER\runtime\integration_test.db","2026-07-23 20:11:25","2026-07-23 20:11:25"
"E:\football_v\10_INTEGRATION_LAYER\service\integration_service.py","2026-07-23 20:11:25","2026-07-23 20:11:25"
"E:\football_v\10_INTEGRATION_LAYER\test\full_pipeline_test.py","2026-07-23 20:11:25","2026-07-23 20:11:25"
"E:\football_v\10_INTEGRATION_LAYER\test\model_connection_test.py","2026-07-23 20:11:25","2026-07-23 20:11:25"
"E:\football_v\11_SIMULATION_LAYER\engine\match_simulation_engine_V2.7.1.py","2026-07-23 20:22:34","2026-07-23 20:22:34"
"E:\football_v\11_SIMULATION_LAYER\engine\match_simulation_engine_V2.7.py","2026-07-23 20:20:59","2026-07-23 20:20:59"
"E:\football_v\11_SIMULATION_LAYER\input\match_input.json","2026-07-23 20:19:26","2026-07-23 20:22:34"
"E:\football_v\11_SIMULATION_LAYER\output\simulation_result.json","2026-07-23 20:22:34","2026-07-23 20:22:34"
"E:\football_v\11_SIMULATION_LAYER\reports\simulation_report.json","2026-07-23 20:22:34","2026-07-23 20:22:34"
"E:\football_v\11_SIMULATION_LAYER\runtime\simulation_runtime.db","2026-07-23 20:22:34","2026-07-23 20:22:34"
"E:\football_v\12_API_LAYER\api\decision_api.py","2026-07-23 20:27:19","2026-07-23 20:27:19"
"E:\football_v\12_API_LAYER\api\prediction_api.py","2026-07-23 20:27:19","2026-07-23 20:27:19"
"E:\football_v\12_API_LAYER\reports\api_validation_report.json","2026-07-23 20:27:19","2026-07-23 20:27:19"
"E:\football_v\12_API_LAYER\reports\real_model_runtime_report.json","2026-07-23 20:58:13","2026-07-23 20:59:44"
"E:\football_v\12_API_LAYER\runtime\api_runtime.db","2026-07-23 20:27:19","2026-07-23 20:27:19"
"E:\football_v\12_API_LAYER\service\football_prediction_service.py","2026-07-23 20:27:19","2026-07-23 20:27:19"
"E:\football_v\12_API_LAYER\test\api_integration_test.py","2026-07-23 20:27:19","2026-07-23 20:27:19"
"E:\football_v\13_TEST_LAYER\cases\match_cases.json","2026-07-23 20:28:51","2026-07-23 20:28:51"
"E:\football_v\13_TEST_LAYER\engine\end_to_end_test_engine_V2.9.py","2026-07-23 20:28:51","2026-07-23 20:28:51"
"E:\football_v\13_TEST_LAYER\reports\final_system_test_report.json","2026-07-23 20:28:52","2026-07-23 20:28:52"
"E:\football_v\13_TEST_LAYER\runtime\test_runtime.db","2026-07-23 20:28:51","2026-07-23 20:28:52"
"E:\football_v\13_TEST_LAYER\validation\database_validation.py","2026-07-23 20:28:52","2026-07-23 20:28:52"
"E:\football_v\14_OPERATION_LAYER\input\match_request.json","2026-07-23 20:47:01","2026-07-23 20:47:01"
"E:\football_v\14_OPERATION_LAYER\output\prediction_result.json","2026-07-23 20:47:01","2026-07-23 20:47:01"
"E:\football_v\14_OPERATION_LAYER\reports\operation_report.json","2026-07-23 20:47:01","2026-07-23 20:47:01"
"E:\football_v\40_MODEL_TRAINING_PIPELINE\config\training_config_V4.0.json","2026-07-23 14:41:47","2026-07-23 14:41:47"
"E:\football_v\40_MODEL_TRAINING_PIPELINE\reports\TRAINING_EXECUTION_STATUS_V4.0.json","2026-07-23 14:48:37","2026-07-23 14:48:37"
"E:\football_v\40_MODEL_TRAINING_PIPELINE\trainer\dixon_coles_trainer_V4.0.py","2026-07-23 14:44:59","2026-07-23 14:44:59"
"E:\football_v\40_MODEL_TRAINING_PIPELINE\trainer\elo_trainer_V4.0.py","2026-07-23 14:44:59","2026-07-23 14:57:46"
"E:\football_v\40_MODEL_TRAINING_PIPELINE\trainer\fusion_trainer_V4.0.py","2026-07-23 14:44:59","2026-07-23 14:44:59"
"E:\football_v\40_MODEL_TRAINING_PIPELINE\trainer\poisson_trainer_V4.0.py","2026-07-23 14:44:59","2026-07-23 14:44:59"
"E:\football_v\40_MODEL_TRAINING_PIPELINE\trainer\train_all_models_V4.0.json","2026-07-23 14:44:59","2026-07-23 14:44:59"
"E:\football_v\40_MODEL_TRAINING_PIPELINE\trainer\train_all_models_V4.0.py","2026-07-23 14:48:37","2026-07-23 14:48:37"
"E:\football_v\40_MODEL_TRAINING_PIPELINE\trainer\xgboost_trainer_V4.0.py","2026-07-23 14:44:59","2026-07-23 14:44:59"
"E:\football_v\50_MODEL_REGISTRY\models\elo_model_V4.0.json","2026-07-23 14:57:48","2026-07-23 14:57:48"
"E:\football_v\99_DOCUMENTATION\architecture\FOOTBALL_AI_OS_V4.0_ARCHITECTURE_GOVERNANCE_V1.0.md","2026-07-24 10:45:12","2026-07-24 10:45:12"
"E:\football_v\99_DOCUMENTATION\architecture\FOOTBALL_AI_OS_V4.0_ARCHITECTURE_RESPONSIBILITY_MAP_V1.0.json","2026-07-24 10:45:12","2026-07-24 10:45:12"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\checkpoint_after_cleanup_V1.3.json","2026-07-23 13:23:30","2026-07-23 13:23:30"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\checkpoint_after_delete_V1.9.json","2026-07-23 13:36:56","2026-07-23 13:36:56"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\checkpoint_before_cleanup_V1.2.json","2026-07-23 13:21:47","2026-07-23 13:21:47"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\checkpoint_before_consolidation_V1.4.json","2026-07-23 13:24:46","2026-07-23 13:24:46"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\cleanup_plan_V1.2.json","2026-07-23 13:20:51","2026-07-23 13:20:51"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\consolidation_plan_V1.4.json","2026-07-23 13:24:46","2026-07-23 13:24:46"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\deprecated_list_V1.2.json","2026-07-23 13:20:51","2026-07-23 13:20:51"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\migration_map_V1.2.json","2026-07-23 13:20:51","2026-07-23 13:20:51"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\CONSOLIDATION_V1.6\checkpoint_before_consolidation_V1.6.json","2026-07-23 13:34:05","2026-07-23 13:34:05"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\CONSOLIDATION_V1.6\consolidation_execution_report_V1.6.json","2026-07-23 13:34:05","2026-07-23 13:34:05"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\CONSOLIDATION_V1.6\consolidation_plan_V1.6.json","2026-07-23 13:34:05","2026-07-23 13:34:05"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\CONSOLIDATION_V1.6\dependency_redirect_map_V1.6.json","2026-07-23 13:34:05","2026-07-23 13:34:05"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\dependency_migration_V1.5\checkpoint_dependency_V1.5.json","2026-07-23 13:31:56","2026-07-23 13:31:56"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\dependency_migration_V1.5\dependency_graph_V1.5.json","2026-07-23 13:31:56","2026-07-23 13:31:56"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\dependency_migration_V1.5\dependency_migration_report_V1.5.json","2026-07-23 13:31:56","2026-07-23 13:31:56"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\dependency_migration_V1.5\migration_execution_plan_V1.5.json","2026-07-23 13:31:56","2026-07-23 13:31:56"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\DEPRECATED_ARCHIVE_V1.7\checkpoint_after_archive_V1.7.json","2026-07-23 13:34:50","2026-07-23 13:34:50"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\DEPRECATED_ARCHIVE_V1.7\checkpoint_before_archive_V1.7.json","2026-07-23 13:34:50","2026-07-23 13:34:50"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\DEPRECATED_ARCHIVE_V1.7\reports\deprecated_move_report_V1.7.json","2026-07-23 13:34:50","2026-07-23 13:34:50"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V2.0\before_cleanup_checkpoint.json","2026-07-23 13:46:36","2026-07-23 13:46:36"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V2.0\deleted_duplicate_modules.json","2026-07-23 13:46:36","2026-07-23 13:46:36"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V2.0\final_duplicate_scan_report.json","2026-07-23 13:46:36","2026-07-23 13:46:36"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V2.0\migration_execution_report.json","2026-07-23 13:46:36","2026-07-23 13:46:36"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V2.1\architecture_whitelist_V2.1.json","2026-07-23 13:49:01","2026-07-23 13:49:01"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V2.1\cleanup_complete_checkpoint_V2.1.json","2026-07-23 13:49:01","2026-07-23 13:49:01"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V2.1\final_duplicate_scan_V2.1.json","2026-07-23 13:49:01","2026-07-23 13:49:01"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V3.0\cleanup_report_V3.0.json","2026-07-23 13:58:01","2026-07-23 13:58:01"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_FREEZE_V4.0\dependency_redirect_map_V4.0.json","2026-07-23 14:00:27","2026-07-23 14:00:27"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_FREEZE_V4.0\final_duplicate_scan_V4.0.json","2026-07-23 14:00:27","2026-07-23 14:00:27"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_FREEZE_V4.0\FROZEN_ARCHITECTURE_CHECKPOINT_V4.0.json","2026-07-23 14:00:27","2026-07-23 14:00:27"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_VALIDATION_V1.8\checkpoint_before_delete_V1.8.json","2026-07-23 13:36:03","2026-07-23 13:36:03"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_VALIDATION_V1.8\dependency_check_V1.8.json","2026-07-23 13:36:03","2026-07-23 13:36:03"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_VALIDATION_V1.8\duplicate_after_cleanup_V1.8.json","2026-07-23 13:36:03","2026-07-23 13:36:03"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_VALIDATION_V1.8\final_delete_plan_V1.8.json","2026-07-23 13:36:03","2026-07-23 13:36:03"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_VALIDATION_V1.8\final_validation_report_V1.8.json","2026-07-23 13:36:03","2026-07-23 13:36:03"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\reports\ARCHITECTURE_DUPLICATE_SCAN_V1.0.json","2026-07-23 13:12:41","2026-07-23 13:12:41"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\reports\CLEANUP_EXECUTION_REPORT_V1.3.json","2026-07-23 13:23:30","2026-07-23 13:23:30"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\reports\MERGE_EXECUTION_REPORT_V1.0.json","2026-07-23 13:14:54","2026-07-23 13:14:54"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\reports\MERGE_RECOMMENDATION_PLAN_V1.0.json","2026-07-23 13:12:41","2026-07-23 13:12:41"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\tools\duplicate_scanner_V1.0.py","2026-07-23 13:12:40","2026-07-23 13:12:40"
"E:\football_v\99_DOCUMENTATION\architecture_cleanup\tools\merge_planner_V1.0.py","2026-07-23 13:12:40","2026-07-23 13:12:40"
"E:\football_v\99_DOCUMENTATION\checkpoints\archive_match_data_before_v22.db","2026-07-23 18:34:44","2026-07-23 18:34:45"
"E:\football_v\99_DOCUMENTATION\checkpoints\archive_system_before_prediction_v12_20260723_191821.db","2026-07-23 19:18:21","2026-07-23 19:18:21"
"E:\football_v\99_DOCUMENTATION\checkpoints\FOOTBALL_V_CHECKPOINT_SYSTEM_SCAN_V4.0.txt","2026-07-23 18:18:45","2026-07-23 18:18:45"
"E:\football_v\99_DOCUMENTATION\FINAL_RELEASE_V4.0\FINAL_FREEZE_CHECKPOINT_V4.0.json","2026-07-23 14:31:15","2026-07-23 14:31:15"
"E:\football_v\99_DOCUMENTATION\FINAL_RELEASE_V4.0\FINAL_SYSTEM_VALIDATION_V4.0.json","2026-07-23 14:31:15","2026-07-23 14:31:15"
"E:\football_v\99_DOCUMENTATION\FINAL_RELEASE_V4.0\MODEL_WEIGHT_CONFIG_V4.0.json","2026-07-23 14:31:15","2026-07-23 14:31:15"
"E:\football_v\99_DOCUMENTATION\FINAL_RELEASE_V4.0\PRODUCTION_MODE_V4.0.json","2026-07-23 14:31:15","2026-07-23 14:31:15"
"E:\football_v\99_DOCUMENTATION\FINAL_SYSTEM_COMPLETION_V4.0\MODEL_REGISTRY_V4.0.json","2026-07-23 14:37:51","2026-07-23 14:37:51"
"E:\football_v\99_DOCUMENTATION\FINAL_SYSTEM_COMPLETION_V4.0\MODEL_TRAINING_ENV_V4.0.json","2026-07-23 14:37:51","2026-07-23 14:37:51"
"E:\football_v\99_DOCUMENTATION\FINAL_SYSTEM_COMPLETION_V4.0\PREDICTION_RUNTIME_V4.0.json","2026-07-23 14:37:51","2026-07-23 14:37:51"
"E:\football_v\99_DOCUMENTATION\FINAL_SYSTEM_COMPLETION_V4.0\PRODUCTION_HARDENING_V4.0.json","2026-07-23 14:37:51","2026-07-23 14:37:51"
"E:\football_v\99_DOCUMENTATION\FINAL_SYSTEM_COMPLETION_V4.0\SELF_LEARNING_V4.0.json","2026-07-23 14:37:51","2026-07-23 14:37:51"
