"FullName","Length","LastWriteTime"
"E:\FOOTBALL_V\deploy_phase51_55.py","2155","2026-07-23 09:47:21"
"E:\FOOTBALL_V\deploy_phase56_60.py","2080","2026-07-23 09:48:28"
"E:\FOOTBALL_V\deploy_remaining_modules_V1.5.py","0","2026-07-22 22:52:43"
"E:\FOOTBALL_V\deploy_remaining_modules_V1.5_FINAL.py","4102","2026-07-22 22:53:27"
"E:\FOOTBALL_V\deploy_v15_phase2_patch3.py","3340","2026-07-21 18:22:18"
"E:\FOOTBALL_V\final_acceptance_test.py","1217","2026-07-23 00:36:51"
"E:\FOOTBALL_V\final_deploy.py","2807","2026-07-23 09:50:49"
"E:\FOOTBALL_V\fix_integration_report_schema_V1.5.py","984","2026-07-22 23:07:54"
"E:\FOOTBALL_V\Football_AI_OS_Phase3_Snapshot.txt","87304","2026-07-21 19:43:49"
"E:\FOOTBALL_V\football_v_current_structure.txt","32816","2026-07-20 15:20:39"
"E:\FOOTBALL_V\football_v_current_tree.txt","42220","2026-07-21 15:13:55"
"E:\FOOTBALL_V\football_v_root_structure.txt","1796","2026-07-21 15:16:45"
"E:\FOOTBALL_V\framework_documents_list.txt","17850","2026-07-21 15:17:01"
"E:\FOOTBALL_V\framework_migration_report.json","26781","2026-07-19 17:51:42"
"E:\FOOTBALL_V\init_Football_AI_OS_v1.ps1","1598","2026-07-18 16:30:05"
"E:\FOOTBALL_V\legacy_delete_check.py","1449","2026-07-22 23:27:39"
"E:\FOOTBALL_V\migration_test.py","621","2026-07-22 19:01:38"
"E:\FOOTBALL_V\phase12_test.py","539","2026-07-23 00:01:19"
"E:\FOOTBALL_V\phase13_test.py","549","2026-07-23 00:02:57"
"E:\FOOTBALL_V\phase14_test.py","581","2026-07-23 00:05:17"
"E:\FOOTBALL_V\phase15_test.py","571","2026-07-23 00:06:38"
"E:\FOOTBALL_V\phase16_test.py","576","2026-07-23 00:08:06"
"E:\FOOTBALL_V\phase17_test.py","526","2026-07-23 00:12:13"
"E:\FOOTBALL_V\phase21_25_test.py","720","2026-07-23 00:14:24"
"E:\FOOTBALL_V\phase26_30_test.py","560","2026-07-23 00:17:13"
"E:\FOOTBALL_V\phase36_40_deploy.py","1204","2026-07-23 00:20:11"
"E:\FOOTBALL_V\phase36_40_deploy_test.py","1252","2026-07-23 00:22:29"
"E:\FOOTBALL_V\phase36_40_test.py","575","2026-07-23 00:19:02"
"E:\FOOTBALL_V\phase41_45_deploy_test.py","1190","2026-07-23 00:23:34"
"E:\FOOTBALL_V\phase46_50_deploy_test.py","1284","2026-07-23 00:24:20"
"E:\FOOTBALL_V\phase51_55_final_validation.py","1693","2026-07-23 00:36:24"
"E:\FOOTBALL_V\phase51_validation.py","1250","2026-07-23 00:33:41"
"E:\FOOTBALL_V\phase52_backtest.py","1207","2026-07-23 00:34:17"
"E:\FOOTBALL_V\pytest.ini","159","2026-07-21 18:09:13"
"E:\FOOTBALL_V\quality_report.json","531","2026-07-20 18:16:38"
"E:\FOOTBALL_V\release_final_patch_V2.0.1.py","1369","2026-07-22 23:24:58"
"E:\FOOTBALL_V\release_integration_V2.0.py","1360","2026-07-22 23:22:40"
"E:\FOOTBALL_V\release_registry_V1.5.json","354","2026-07-22 22:53:45"
"E:\FOOTBALL_V\release_validation_V1.5.py","954","2026-07-22 23:09:03"
"E:\FOOTBALL_V\start_ai_os.py","51","2026-07-23 09:50:50"
"E:\FOOTBALL_V\structure.txt","18150","2026-07-19 18:57:19"
"E:\FOOTBALL_V\test_ai_intelligence_V2.0.py","1030","2026-07-22 23:19:32"
"E:\FOOTBALL_V\validate_release_V2.0.py","2082","2026-07-22 23:21:06"
"E:\FOOTBALL_V\.pytest_cache\.gitignore","37","2026-07-21 19:43:02"
"E:\FOOTBALL_V\.pytest_cache\CACHEDIR.TAG","191","2026-07-21 19:43:02"
"E:\FOOTBALL_V\.pytest_cache\README.md","302","2026-07-21 19:43:02"
"E:\FOOTBALL_V\.pytest_cache\v\cache\lastfailed","2","2026-07-21 20:10:42"
"E:\FOOTBALL_V\.pytest_cache\v\cache\nodeids","3168","2026-07-21 20:51:21"
"E:\FOOTBALL_V\00_System_OS\deploy_architecture_cleanup_engine_V1.0.py","3582","2026-07-22 22:08:17"
"E:\FOOTBALL_V\00_System_OS\deploy_release_validation_engine_V1.0.py","4356","2026-07-22 22:03:57"
"E:\FOOTBALL_V\00_System_OS\deploy_system_quality_batch_01_V1.0.py","2546","2026-07-22 22:14:09"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\deploy_schema_validator_final.ps1","0","2026-07-20 12:54:47"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\main.py","2606","2026-07-19 12:23:44"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\upgrade_validator_schema_v1.ps1","809","2026-07-20 12:52:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\config\database_config.py","195","2026-07-18 23:52:41"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\config\__pycache__\database_config.cpython-312.pyc","417","2026-07-20 15:13:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\config\__pycache__\__init__.cpython-312.pyc","156","2026-07-20 15:13:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\database\db_connection.py","1769","2026-07-20 13:34:37"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\database\__pycache__\db_connection.cpython-312.pyc","2609","2026-07-20 15:13:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\exception\base_exception.py","425","2026-07-20 14:00:50"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\exception\database_exception.py","246","2026-07-20 14:00:50"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\exception\error_codes.py","253","2026-07-20 13:26:40"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\exception\exception_handler.py","253","2026-07-20 13:26:40"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\exception\file_exception.py","245","2026-07-20 14:00:50"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\exception\validation_exception.py","250","2026-07-20 14:00:50"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\exception\__init__.py","350","2026-07-20 14:00:50"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\exception\__pycache__\base_exception.cpython-312.pyc","910","2026-07-20 15:13:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\exception\__pycache__\database_exception.cpython-312.pyc","684","2026-07-20 15:13:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\exception\__pycache__\file_exception.cpython-312.pyc","682","2026-07-20 15:13:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\exception\__pycache__\validation_exception.cpython-312.pyc","692","2026-07-20 15:13:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\exception\__pycache__\__init__.cpython-312.pyc","457","2026-07-20 15:13:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\file_service\file_service.py","2430","2026-07-20 13:47:37"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\hash_service\hash_service.py","1708","2026-07-20 13:54:11"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\logger\compatibility.py","435","2026-07-20 10:52:40"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\logger\formatter.py","338","2026-07-19 18:14:38"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\logger\handlers.py","549","2026-07-19 18:15:08"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\logger\logger.py","1808","2026-07-20 11:07:36"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\logger\log_config.json","84","2026-07-19 18:16:05"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\logger\__init__.py","114","2026-07-20 10:52:40"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\logger\__pycache__\formatter.cpython-312.pyc","741","2026-07-20 15:13:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\logger\__pycache__\handlers.cpython-312.pyc","1045","2026-07-20 15:13:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\logger\__pycache__\logger.cpython-312.pyc","2431","2026-07-20 15:13:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\logger\__pycache__\__init__.cpython-312.pyc","269","2026-07-20 15:13:03"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\validator\data_validator.py","1921","2026-07-20 12:39:09"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\validator\schema_validator.py","416","2026-07-20 13:17:51"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\validator\schema_validator_status.txt","43","2026-07-20 12:52:24"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\validator\validation_result.py","1670","2026-07-20 12:38:05"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\validator\__init__.py","343","2026-07-20 12:37:51"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\validator\__pycache__\data_validator.cpython-312.pyc","2239","2026-07-20 15:15:02"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\validator\__pycache__\validation_result.cpython-312.pyc","2297","2026-07-20 15:15:02"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\validator\__pycache__\__init__.cpython-312.pyc","458","2026-07-20 15:15:02"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\core\version_service\version_service.py","1671","2026-07-20 13:56:36"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\database\football_ai_os.db","110592","2026-07-19 15:20:36"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\database\新建文本文档.txt","0","2026-07-19 15:59:20"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\import_pipeline\archive_manager.py","266","2026-07-19 12:08:12"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\import_pipeline\duplicate_checker.py","649","2026-07-19 12:21:55"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\import_pipeline\importer.py","1855","2026-07-19 12:22:16"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\import_pipeline\scanner.py","437","2026-07-19 12:06:18"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\import_pipeline\validator.py","359","2026-07-19 12:07:35"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\logs\2026-07-19.log","274","2026-07-19 12:24:26"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\logs\football_ai.log","66","2026-07-20 11:12:41"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\market\bookmaker_manager.py","1287","2026-07-18 23:35:41"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\market\market_type_manager.py","870","2026-07-18 23:44:46"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\market\odds_manager.py","1217","2026-07-18 23:46:08"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\quality\quality_checker.py","1450","2026-07-19 14:54:27"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\quality\quality_engine.py","5527","2026-07-19 15:19:46"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\quality\quality_report.py","758","2026-07-19 14:55:51"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\registry\data_lineage.py","566","2026-07-19 11:15:23"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\registry\import_tracker.py","629","2026-07-19 11:16:02"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\registry\quality_score.py","527","2026-07-19 11:16:34"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\registry\registry_manager.py","1159","2026-07-19 11:54:38"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\reports\database_inspection_report.json","4561","2026-07-22 18:55:52"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\reports\database_migration_report.json","540","2026-07-22 19:00:07"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\create_data_layer.py","936","2026-07-18 23:21:19"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\database_alert_final_upgrade.py","1247","2026-07-19 15:10:01"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\database_init.py","1437","2026-07-18 23:29:17"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\database_market_init.py","1425","2026-07-18 23:41:44"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\database_quality_alert_upgrade.py","1445","2026-07-19 15:02:44"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\database_quality_init.py","2522","2026-07-19 14:45:57"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\database_task_reliability_init.py","2438","2026-07-19 14:17:32"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\database_task_table_upgrade.py","1543","2026-07-19 14:36:44"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\quality_rule_init.py","3095","2026-07-19 14:47:56"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\registry_init.py","1666","2026-07-19 11:48:04"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\registry_manager.py","1557","2026-07-18 23:30:16"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\retry_policy_init.py","2813","2026-07-19 14:24:10"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\task_queue_init.py","863","2026-07-19 12:38:06"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\test.csv","14","2026-07-18 23:30:33"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\test_quality_engine.py","1807","2026-07-19 14:57:55"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\test_registry_flow.py","1666","2026-07-19 11:51:57"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\test_retry_logger.py","1228","2026-07-19 14:29:34"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\test_scheduler.py","2330","2026-07-19 13:38:06"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\test_scheduler_reliability.py","1185","2026-07-19 14:41:26"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\test_task_history.py","1263","2026-07-19 14:27:06"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\test_task_manager_reliability.py","1037","2026-07-19 14:34:19"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\test_task_queue.py","1025","2026-07-19 12:44:39"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\scripts\test_task_reliability_full.py","1904","2026-07-19 14:43:15"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\task_queue\manual_task.py","530","2026-07-19 12:40:23"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\task_queue\retry_engine.py","4126","2026-07-19 14:31:30"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\task_queue\retry_logger.py","2110","2026-07-19 14:28:49"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\task_queue\scheduler.py","3532","2026-07-19 14:40:22"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\task_queue\task_history.py","2073","2026-07-19 14:26:20"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\task_queue\task_manager.py","3167","2026-07-19 14:33:10"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\task_queue\task_query.py","816","2026-07-19 12:43:30"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\task_queue\task_status.py","154","2026-07-19 12:39:24"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\task_queue\新建文本文档.txt","0","2026-07-19 14:30:46"
"E:\FOOTBALL_V\00_System_OS\01_DATA_LAYER\test_data\test_odds.csv","88","2026-07-19 12:12:02"
"E:\FOOTBALL_V\00_System_OS\ARCHITECTURE_CLEANUP\architecture_classifier\architecture_classifier_V1.0.py","867","2026-07-22 22:08:26"
"E:\FOOTBALL_V\00_System_OS\ARCHITECTURE_CLEANUP\architecture_classifier\__pycache__\architecture_classifier_V1.0.cpython-312.pyc","1427","2026-07-22 22:09:16"
"E:\FOOTBALL_V\00_System_OS\ARCHITECTURE_CLEANUP\architecture_scanner\architecture_scanner_V1.0.py","463","2026-07-22 22:08:26"
"E:\FOOTBALL_V\00_System_OS\ARCHITECTURE_CLEANUP\architecture_scanner\__pycache__\architecture_scanner_V1.0.cpython-312.pyc","1021","2026-07-22 22:09:16"
"E:\FOOTBALL_V\00_System_OS\ARCHITECTURE_CLEANUP\config\architecture_rules.json","73","2026-07-22 22:08:26"
"E:\FOOTBALL_V\00_System_OS\ARCHITECTURE_CLEANUP\config\__pycache__\architecture_rules.cpython-312.pyc","258","2026-07-22 22:09:16"
"E:\FOOTBALL_V\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\registry_manager_V1.0.py","744","2026-07-22 22:08:26"
"E:\FOOTBALL_V\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\registry_manager_V1.1.py","828","2026-07-22 22:09:06"
"E:\FOOTBALL_V\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\__pycache__\registry_manager_V1.1.cpython-312.pyc","1185","2026-07-22 22:09:16"
"E:\FOOTBALL_V\00_System_OS\ARCHITECTURE_CLEANUP\reports\architecture_cleanup_test_report.json","832","2026-07-22 22:09:16"
"E:\FOOTBALL_V\00_System_OS\ARCHITECTURE_CLEANUP\tests\test_architecture_cleanup_V1.0.py","825","2026-07-22 22:08:26"
"E:\FOOTBALL_V\00_System_OS\ARCHITECTURE_CLEANUP\tests\test_architecture_cleanup_V1.1.py","1150","2026-07-22 22:09:07"
"E:\FOOTBALL_V\00_System_OS\Automation\logs\scheduler_log.json","360","2026-07-18 18:57:56"
"E:\FOOTBALL_V\00_System_OS\Automation\logs\workflow_run_log.json","1570","2026-07-18 18:20:10"
"E:\FOOTBALL_V\00_System_OS\Automation\scheduler\install_monitor_task.ps1","641","2026-07-18 19:20:14"
"E:\FOOTBALL_V\00_System_OS\Automation\scheduler\install_recovery_task.ps1","809","2026-07-18 19:31:46"
"E:\FOOTBALL_V\00_System_OS\Automation\scheduler\install_task.ps1","810","2026-07-18 19:03:50"
"E:\FOOTBALL_V\00_System_OS\Automation\scheduler\scheduler_config.json","348","2026-07-18 18:53:49"
"E:\FOOTBALL_V\00_System_OS\Automation\scheduler\scheduler_manager.py","1749","2026-07-18 18:54:23"
"E:\FOOTBALL_V\00_System_OS\Automation\task_manager\task_history.json","263","2026-07-18 18:43:39"
"E:\FOOTBALL_V\00_System_OS\Automation\task_manager\task_manager.py","1954","2026-07-18 18:41:12"
"E:\FOOTBALL_V\00_System_OS\Automation\task_manager\task_registry.json","415","2026-07-18 18:43:27"
"E:\FOOTBALL_V\00_System_OS\Automation\workflow\workflow.json","1367","2026-07-18 18:08:41"
"E:\FOOTBALL_V\00_System_OS\Automation\workflow\workflow_runner.py","4248","2026-07-18 18:20:05"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\bootstrap.py","2872","2026-07-18 19:56:17"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\bootstrap_config.json","201","2026-07-18 19:34:58"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\bootstrap_log.json","551","2026-07-18 19:36:52"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\config_generator.py","1773","2026-07-18 19:58:18"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\deployment_log.txt","137","2026-07-18 19:45:42"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\deployment_report.json","760","2026-07-18 19:56:34"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\deploy_system.py","1709","2026-07-18 19:45:20"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\setup_system.py","1459","2026-07-18 19:35:27"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\system_check.py","2300","2026-07-18 19:39:50"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\system_check_log.json","421","2026-07-18 19:45:42"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\config\automation.yaml","93","2026-07-18 19:59:23"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\config\config_generation.json","176","2026-07-18 19:59:23"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\config\monitor.yaml","65","2026-07-18 19:59:23"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\config\recovery.yaml","63","2026-07-18 19:59:23"
"E:\FOOTBALL_V\00_System_OS\Bootstrap\config\system.yaml","65","2026-07-18 19:59:23"
"E:\FOOTBALL_V\00_System_OS\deployment_controller\alpha_integration_sprint_report.json","161","2026-07-22 21:53:26"
"E:\FOOTBALL_V\00_System_OS\deployment_controller\alpha_product_deployment_report.json","1654","2026-07-22 21:52:07"
"E:\FOOTBALL_V\00_System_OS\deployment_controller\deploy_alpha_integration_sprint_V1.0.py","3729","2026-07-22 21:53:14"
"E:\FOOTBALL_V\00_System_OS\deployment_controller\deploy_alpha_product_sprint_V1.0.py","2770","2026-07-22 21:51:56"
"E:\FOOTBALL_V\00_System_OS\DEPLOYMENT_QUALITY_CHECKER\deployment_quality_checker_V1.0.py","832","2026-07-22 22:14:39"
"E:\FOOTBALL_V\00_System_OS\DEPLOYMENT_QUALITY_CHECKER\reports\quality_report.json","271","2026-07-22 22:14:39"
"E:\FOOTBALL_V\00_System_OS\ENVIRONMENT_CHECKER\environment_checker_V1.0.py","243","2026-07-22 22:14:39"
"E:\FOOTBALL_V\00_System_OS\File_Manager\archive\archive_index.json","1097","2026-07-18 17:05:51"
"E:\FOOTBALL_V\00_System_OS\File_Manager\archive\archive_manager.py","2517","2026-07-18 17:05:33"
"E:\FOOTBALL_V\00_System_OS\File_Manager\archive\archive_manager_v11.py","2101","2026-07-18 17:54:37"
"E:\FOOTBALL_V\00_System_OS\File_Manager\archive\archive_report.json","2747","2026-07-18 17:55:04"
"E:\FOOTBALL_V\00_System_OS\File_Manager\archive\archive_rules.json","167","2026-07-18 17:53:47"
"E:\FOOTBALL_V\00_System_OS\File_Manager\archive\storage\20260718_170551\duplicate_report.csv","1886","2026-07-18 16:52:26"
"E:\FOOTBALL_V\00_System_OS\File_Manager\archive\storage\20260718_170551\file_inventory.csv","3306","2026-07-18 16:49:31"
"E:\FOOTBALL_V\00_System_OS\File_Manager\archive\storage\20260718_170551\lifecycle_report.csv","2175","2026-07-18 17:01:26"
"E:\FOOTBALL_V\00_System_OS\File_Manager\config\file_manager.yaml","0","2026-07-18 16:41:19"
"E:\FOOTBALL_V\00_System_OS\File_Manager\duplicate\duplicate_detector_v11.py","2735","2026-07-18 17:45:40"
"E:\FOOTBALL_V\00_System_OS\File_Manager\duplicate\duplicate_report_v11.json","15126","2026-07-18 17:47:57"
"E:\FOOTBALL_V\00_System_OS\File_Manager\hash\duplicate_detector.py","2007","2026-07-18 16:52:06"
"E:\FOOTBALL_V\00_System_OS\File_Manager\lifecycle\lifecycle_engine.py","2123","2026-07-18 17:32:44"
"E:\FOOTBALL_V\00_System_OS\File_Manager\lifecycle\lifecycle_history.json","2355","2026-07-18 17:33:19"
"E:\FOOTBALL_V\00_System_OS\File_Manager\lifecycle\lifecycle_manager.py","2129","2026-07-18 17:01:06"
"E:\FOOTBALL_V\00_System_OS\File_Manager\lifecycle\lifecycle_rules.json","1113","2026-07-18 17:32:00"
"E:\FOOTBALL_V\00_System_OS\File_Manager\registry\asset_schema.json","2100","2026-07-18 17:12:51"
"E:\FOOTBALL_V\00_System_OS\File_Manager\registry\file_registry.json","6802","2026-07-18 16:49:31"
"E:\FOOTBALL_V\00_System_OS\File_Manager\registry\file_registry_v11.json","9122","2026-07-18 17:33:19"
"E:\FOOTBALL_V\00_System_OS\File_Manager\registry\file_registry_v11.py","2431","2026-07-18 17:15:54"
"E:\FOOTBALL_V\00_System_OS\File_Manager\reports\duplicate_report.csv","1886","2026-07-18 16:52:26"
"E:\FOOTBALL_V\00_System_OS\File_Manager\reports\file_inventory.csv","3306","2026-07-18 16:49:31"
"E:\FOOTBALL_V\00_System_OS\File_Manager\reports\lifecycle_report.csv","2175","2026-07-18 17:01:26"
"E:\FOOTBALL_V\00_System_OS\File_Manager\runtime\file_manager_state.json","0","2026-07-18 16:41:19"
"E:\FOOTBALL_V\00_System_OS\File_Manager\scanner\file_scanner.py","4062","2026-07-18 16:49:06"
"E:\FOOTBALL_V\00_System_OS\File_Manager\source\source_schema.json","2213","2026-07-18 17:19:15"
"E:\FOOTBALL_V\00_System_OS\File_Manager\version\version_manager.py","2276","2026-07-18 17:40:26"
"E:\FOOTBALL_V\00_System_OS\File_Manager\version\version_registry.json","6135","2026-07-18 17:40:50"
"E:\FOOTBALL_V\00_System_OS\File_Manager\version\version_schema.json","934","2026-07-18 17:36:58"
"E:\FOOTBALL_V\00_System_OS\FINAL_RELEASE_GATE\final_release_gate_V1.0.py","265","2026-07-22 22:14:39"
"E:\FOOTBALL_V\00_System_OS\integration_test\deploy_alpha_integration_test_V1.0.py","2270","2026-07-22 21:55:36"
"E:\FOOTBALL_V\00_System_OS\integration_test\test_api_pipeline.py","195","2026-07-22 21:55:47"
