file,exists,size,last_modified,delete_status
E:\football_v\deployment_scripts\deploy_MODEL_LAYER_V2.10_OPTIMIZATION_ALL.ps1,YES,4172,2026-07-23 20:33:34.851224,PENDING_REVIEW
E:\football_v\deployment_scripts\deploy_MODEL_LAYER_V2.11_FEEDBACK_LOOP_ALL.ps1,YES,4263,2026-07-23 20:35:33.401958,PENDING_REVIEW
E:\football_v\deployment_scripts\deploy_model_layer_V2.3_REAL_ALL_FIX2.ps1,YES,2172,2026-07-23 20:05:22.917705,PENDING_REVIEW
E:\football_v\deployment_scripts\deploy_phase10_batch02_real_model_V1.0.py,YES,1974,2026-07-22 23:44:33.022346,PENDING_REVIEW
E:\football_v\deployment_scripts\model_history_migration_engine_V1.0.py,YES,2608,2026-07-26 08:15:43.982685,PENDING_REVIEW
E:\football_v\deployment_scripts\model_layer_V2.3_initializer.py,YES,3092,2026-07-23 20:04:58.832989,PENDING_REVIEW
E:\football_v\deployment_scripts\model_migration_engine_V1.0.py,YES,4747,2026-07-23 19:02:01.615720,PENDING_REVIEW
E:\football_v\deployment_scripts\model_migration_engine_V1.1.py,YES,2522,2026-07-23 19:02:46.933698,PENDING_REVIEW
E:\football_v\deployment_scripts\upgrade_model_registry_schema_V1.0.py,YES,651,2026-07-23 19:15:06.339711,PENDING_REVIEW
E:\football_v\.continue\rules\DEVELOPMENT_WORKFLOW.md,YES,166,2026-07-28 13:43:55.666373,PENDING_REVIEW
E:\football_v\.continue\rules\MODEL_DEVELOPMENT_RULES.md,YES,252,2026-07-28 13:43:55.666373,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\candidate.py,YES,753,2026-07-24 21:12:42.866138,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py,YES,6578,2026-07-24 21:12:42.866138,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\format_control.py,YES,2486,2026-07-24 21:12:42.866138,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\index.py,YES,1030,2026-07-24 21:12:42.866138,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py,YES,2818,2026-07-24 21:12:42.866138,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py,YES,21448,2026-07-24 21:12:42.866138,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\scheme.py,YES,575,2026-07-24 21:12:42.866138,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\search_scope.py,YES,4531,2026-07-24 21:12:42.866138,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py,YES,2015,2026-07-24 21:12:42.866138,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\target_python.py,YES,4271,2026-07-24 21:12:42.879441,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\wheel.py,YES,4539,2026-07-24 21:12:42.879441,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__init__.py,YES,63,2026-07-24 21:12:42.866138,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\candidate.cpython-312.pyc,YES,1578,2026-07-24 21:12:43.759604,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\direct_url.cpython-312.pyc,YES,10818,2026-07-24 21:12:43.759604,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\format_control.cpython-312.pyc,YES,4197,2026-07-24 21:12:43.759604,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\index.cpython-312.pyc,YES,1668,2026-07-24 21:12:43.775245,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\installation_report.cpython-312.pyc,YES,2251,2026-07-24 21:12:43.780208,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\link.cpython-312.pyc,YES,26957,2026-07-24 21:12:43.780208,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\scheme.cpython-312.pyc,YES,997,2026-07-24 21:12:43.795969,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\search_scope.cpython-312.pyc,YES,4961,2026-07-24 21:12:43.795969,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\selection_prefs.cpython-312.pyc,YES,1825,2026-07-24 21:12:43.795969,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\target_python.cpython-312.pyc,YES,4927,2026-07-24 21:12:43.795969,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\wheel.cpython-312.pyc,YES,6526,2026-07-24 21:12:43.816909,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\__init__.cpython-312.pyc,YES,240,2026-07-24 21:12:43.758424,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\modeline.py,YES,1005,2026-07-24 21:12:43.130148,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\models.py,YES,35483,2026-07-24 21:12:43.196398,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\modeline.cpython-312.pyc,YES,1535,2026-07-24 21:12:46.451034,PENDING_REVIEW
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\models.cpython-312.pyc,YES,35404,2026-07-24 21:12:46.612941,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\check_match_source.py,YES,315,2026-07-26 07:53:23.390201,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\database_test.py,YES,870,2026-07-26 07:46:20.803173,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\history_check.py,YES,751,2026-07-26 07:49:51.422011,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\model_config.py,YES,248,2026-07-26 08:29:31.169582,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\model_runtime_test.py,YES,862,2026-07-26 08:26:22.941842,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\old_history_check.py,YES,385,2026-07-26 07:51:36.457146,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\test_model_loading.py,YES,1417,2026-07-26 00:00:41.526006,PENDING_REVIEW
E:\football_v\00_System_OS\integration_test\test_model_pipeline.py,YES,216,2026-07-22 21:55:47.100010,PENDING_REVIEW
E:\football_v\00_System_OS\registry\dependency_engine.py,YES,1148,2026-07-18 20:10:53.821313,PENDING_REVIEW
E:\football_v\00_System_OS\registry\dependency_map.json,YES,450,2026-07-18 20:10:22.680367,PENDING_REVIEW
E:\football_v\00_System_OS\registry\modules.json,YES,658,2026-07-18 20:12:27.633786,PENDING_REVIEW
E:\football_v\00_System_OS\registry\module_registry.json,YES,0,2026-07-18 16:30:38.140491,PENDING_REVIEW
E:\football_v\00_System_OS\registry\module_template.json,YES,152,2026-07-18 20:04:59.953358,PENDING_REVIEW
E:\football_v\00_System_OS\registry\registry.json,YES,2461,2026-07-18 20:08:49.590894,PENDING_REVIEW
E:\football_v\00_System_OS\registry\registry_api.py,YES,906,2026-07-18 20:12:56.570301,PENDING_REVIEW
E:\football_v\00_System_OS\registry\registry_log.json,YES,125,2026-07-18 20:08:49.590894,PENDING_REVIEW
E:\football_v\00_System_OS\registry\registry_manager.py,YES,2351,2026-07-18 20:05:56.961614,PENDING_REVIEW
E:\football_v\00_System_OS\registry\registry_scanner.py,YES,2254,2026-07-18 20:08:34.303275,PENDING_REVIEW
E:\football_v\00_System_OS\01_DATA_LAYER\registry\data_lineage.py,YES,566,2026-07-19 11:15:23.723414,PENDING_REVIEW
E:\football_v\00_System_OS\01_DATA_LAYER\registry\import_tracker.py,YES,629,2026-07-19 11:16:02.391593,PENDING_REVIEW
E:\football_v\00_System_OS\01_DATA_LAYER\registry\quality_score.py,YES,527,2026-07-19 11:16:34.815010,PENDING_REVIEW
E:\football_v\00_System_OS\01_DATA_LAYER\registry\registry_manager.py,YES,1159,2026-07-19 11:54:38.316125,PENDING_REVIEW
E:\football_v\00_System_OS\01_DATA_LAYER\scripts\registry_init.py,YES,1666,2026-07-19 11:48:04.236548,PENDING_REVIEW
E:\football_v\00_System_OS\01_DATA_LAYER\scripts\registry_manager.py,YES,1557,2026-07-18 23:30:16.360543,PENDING_REVIEW
E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_registry_flow.py,YES,1666,2026-07-19 11:51:57.104519,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\database\model_store.db,YES,82735104,2026-07-26 11:54:45.957122,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\model_config.py,YES,172,2026-07-26 13:55:34.427436,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\__init__.py,YES,0,2026-07-26 08:24:23.241803,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Registry\model_migration_registry_v1.0.json,YES,1532,2026-07-25 23:45:04.050620,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Registry\model_registry.json,YES,1891,2026-07-25 23:49:19.473316,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\__pycache__\model_config.cpython-312.pyc,YES,508,2026-07-26 08:31:34.550801,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\dixon_coles.py,YES,2417,2026-07-25 23:55:04.425164,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\dixon_coles_history_engine.py,YES,1820,2026-07-25 23:55:04.440711,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\__init__.py,YES,0,2026-07-26 08:24:23.323768,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Elo\elo_engine.py,YES,3959,2026-07-25 23:55:04.440711,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Elo\__init__.py,YES,0,2026-07-26 08:24:23.292521,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\config.py,YES,125,2026-07-26 08:28:19.161068,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\poisson_engine.py,YES,4369,2026-07-26 08:34:35.424889,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\poisson_history_engine.py,YES,2565,2026-07-25 23:55:04.440711,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\__init__.py,YES,0,2026-07-26 08:24:23.423382,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\backup_xgboost_fusion_v3_engine.py,YES,3867,2026-07-26 15:09:14.136290,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\model_config.py,YES,197,2026-07-26 13:58:43.875776,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_engine.py,YES,2142,2026-07-25 23:55:04.456320,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_engine.py,YES,6631,2026-07-25 23:55:04.456320,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_v2_engine.py,YES,4061,2026-07-26 14:24:36.793883,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_v2_engine_backup.py,YES,4225,2026-07-26 14:14:56.128175,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_v3_engine.py,YES,3791,2026-07-26 15:11:50.132106,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_v3_engine_backup.py,YES,3964,2026-07-26 14:44:57.200939,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\__init__.py,YES,0,2026-07-26 08:24:24.676207,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\__pycache__\model_config.cpython-312.pyc,YES,265,2026-07-26 11:35:45.608460,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\__pycache__\__init__.cpython-312.pyc,YES,161,2026-07-26 08:31:34.516657,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\__pycache__\dixon_coles.cpython-312.pyc,YES,3273,2026-07-26 00:00:43.737870,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\__pycache__\__init__.cpython-312.pyc,YES,173,2026-07-26 08:31:34.566335,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Elo\__pycache__\elo_engine.cpython-312.pyc,YES,3808,2026-07-26 00:00:43.706625,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Elo\__pycache__\__init__.cpython-312.pyc,YES,165,2026-07-26 08:31:34.520648,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\__pycache__\poisson_engine.cpython-312.pyc,YES,5067,2026-07-26 08:34:43.739305,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\__pycache__\__init__.cpython-312.pyc,YES,169,2026-07-26 08:31:34.566335,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\__pycache__\xgboost_engine.cpython-312.pyc,YES,2984,2026-07-26 00:00:43.753492,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\__pycache__\xgboost_fusion_v2_engine.cpython-312.pyc,YES,5203,2026-07-26 14:24:51.613949,PENDING_REVIEW
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\__pycache__\__init__.cpython-312.pyc,YES,169,2026-07-26 08:31:34.566335,PENDING_REVIEW
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\registry_manager_V1.0.py,YES,744,2026-07-22 22:08:26.559458,PENDING_REVIEW
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\registry_manager_V1.1.py,YES,828,2026-07-22 22:09:06.060973,PENDING_REVIEW
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\__pycache__\registry_manager_V1.1.cpython-312.pyc,YES,1185,2026-07-22 22:09:16.776225,PENDING_REVIEW
E:\football_v\00_System_OS\Automation\task_manager\task_registry.json,YES,415,2026-07-18 18:43:27.875566,PENDING_REVIEW
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_BASELINE_REQUEST.txt,YES,389,2026-07-23 17:57:18.357249,PENDING_REVIEW
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_STARTUP_CHECKLIST_V1.0.md,YES,1500,2026-07-23 17:57:18.273928,PENDING_REVIEW
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_TASK_TEMPLATE.txt,YES,284,2026-07-23 17:57:18.507872,PENDING_REVIEW
E:\football_v\00_System_OS\File_Manager\registry\asset_schema.json,YES,2100,2026-07-18 17:12:51.367191,PENDING_REVIEW
E:\football_v\00_System_OS\File_Manager\registry\file_registry.json,YES,6802,2026-07-18 16:49:31.495670,PENDING_REVIEW
E:\football_v\00_System_OS\File_Manager\registry\file_registry_v11.json,YES,9122,2026-07-18 17:33:19.177824,PENDING_REVIEW
E:\football_v\00_System_OS\File_Manager\registry\file_registry_v11.py,YES,2431,2026-07-18 17:15:54.523124,PENDING_REVIEW
E:\football_v\00_System_OS\File_Manager\version\version_registry.json,YES,6135,2026-07-18 17:40:50.076298,PENDING_REVIEW
E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json,YES,114906,2026-07-23 13:17:41.597169,PENDING_REVIEW
E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry_V1.9.json,YES,187,2026-07-23 13:36:56.308003,PENDING_REVIEW
