file,classification,reason,status
E:\football_v\95_MODEL_FEEDBACK_ENGINE\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\97_MODEL_WEIGHT_OPTIMIZER\module.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\99_DOCUMENTATION\Model_Registry_Audit_V1.0.txt,B,需要引用确认,WAIT_APPROVAL
E:\football_v\99_DOCUMENTATION\MODEL_REGISTRY_FULL_SCAN_REPORT_V1.0.txt,B,需要引用确认,WAIT_APPROVAL
E:\football_v\AI_RUNTIME\model_connector.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\AI_RUNTIME\model_fusion.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\AI_RUNTIME\model_outputs.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\AI_RUNTIME\model_runtime_connector.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\deployment_scripts\deploy_feature_model_layer_V1.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\deployment_scripts\deploy_MODEL_LAYER_V2.10_OPTIMIZATION_ALL.ps1,B,需要引用确认,WAIT_APPROVAL
E:\football_v\deployment_scripts\deploy_MODEL_LAYER_V2.11_FEEDBACK_LOOP_ALL.ps1,B,需要引用确认,WAIT_APPROVAL
E:\football_v\deployment_scripts\deploy_model_layer_V2.3_REAL_ALL_FIX2.ps1,B,需要引用确认,WAIT_APPROVAL
E:\football_v\deployment_scripts\deploy_phase10_batch02_real_model_V1.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\deployment_scripts\model_history_migration_engine_V1.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\deployment_scripts\model_layer_V2.3_initializer.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\deployment_scripts\model_migration_engine_V1.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\deployment_scripts\model_migration_engine_V1.1.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\deployment_scripts\upgrade_model_registry_schema_V1.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.continue\rules\DEVELOPMENT_WORKFLOW.md,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.continue\rules\MODEL_DEVELOPMENT_RULES.md,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\candidate.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\format_control.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\index.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\scheme.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\search_scope.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\target_python.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\wheel.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__init__.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\candidate.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\direct_url.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\format_control.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\index.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\installation_report.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\link.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\scheme.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\search_scope.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\selection_prefs.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\target_python.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\wheel.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__pycache__\__init__.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\modeline.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\models.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\modeline.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__\models.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\check_match_source.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\database_test.py,C,测试文件保留,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\history_check.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\model_config.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\model_runtime_test.py,C,测试文件保留,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\old_history_check.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\test_model_loading.py,C,测试文件保留,WAIT_APPROVAL
E:\football_v\00_System_OS\integration_test\test_model_pipeline.py,C,测试文件保留,WAIT_APPROVAL
E:\football_v\00_System_OS\registry\dependency_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\registry\dependency_map.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\registry\modules.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\registry\module_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\registry\module_template.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\registry\registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\registry\registry_api.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\registry\registry_log.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\registry\registry_manager.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\registry\registry_scanner.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\01_DATA_LAYER\registry\data_lineage.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\01_DATA_LAYER\registry\import_tracker.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\01_DATA_LAYER\registry\quality_score.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\01_DATA_LAYER\registry\registry_manager.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\01_DATA_LAYER\scripts\registry_init.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\01_DATA_LAYER\scripts\registry_manager.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_registry_flow.py,C,测试文件保留,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\database\model_store.db,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\model_config.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\__init__.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Registry\model_migration_registry_v1.0.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Registry\model_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\__pycache__\model_config.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\dixon_coles.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\dixon_coles_history_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\__init__.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Elo\elo_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Elo\__init__.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\config.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\poisson_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\poisson_history_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\__init__.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\backup_xgboost_fusion_v3_engine.py,D,历史备份文件,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\model_config.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_v2_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_v2_engine_backup.py,D,历史备份文件,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_v3_engine.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_v3_engine_backup.py,D,历史备份文件,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\__init__.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\__pycache__\model_config.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\__pycache__\__init__.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\__pycache__\dixon_coles.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\__pycache__\__init__.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Elo\__pycache__\elo_engine.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Elo\__pycache__\__init__.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\__pycache__\poisson_engine.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\__pycache__\__init__.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\__pycache__\xgboost_engine.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\__pycache__\xgboost_fusion_v2_engine.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\__pycache__\__init__.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\registry_manager_V1.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\registry_manager_V1.1.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\__pycache__\registry_manager_V1.1.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\Automation\task_manager\task_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_BASELINE_REQUEST.txt,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_STARTUP_CHECKLIST_V1.0.md,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_TASK_TEMPLATE.txt,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\File_Manager\registry\asset_schema.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\File_Manager\registry\file_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\File_Manager\registry\file_registry_v11.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\File_Manager\registry\file_registry_v11.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_System_OS\File_Manager\version\version_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry_V1.9.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\deprecated_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_SYSTEM_TOOLS\Checkpoint\model_layer_v1.3_checkpoint.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_model_explanation_engine_test_V1.0.py,C,测试文件保留,WAIT_APPROVAL
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_model_explanation_engine_V1.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_model_layer_V1.0_V1.3.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\registry\deployment_tool_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\01_Data_Source\registry\source_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\01_Data_Source\registry\source_registry.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\01_Data_Source\registry\source_registry.pynotepad,B,需要引用确认,WAIT_APPROVAL
E:\football_v\02_Data_Platform\data_manager\dataset_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\02_Data_Platform\data_manager\dataset_registry.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\02_Data_Platform\metadata\data_platform_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\02_Data_Platform\metadata\metadata_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\02_Data_Platform\raw\raw_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\02_Data_Platform\raw\raw_registry.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\02_Data_Platform\registry\data_platform_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\02_Data_Platform\registry\data_platform_registry.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\02_Data_Platform\storage_engine\storage_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\02_Data_Platform\data_manager\__pycache__\dataset_registry.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\02_Data_Platform\metadata\lineage\lineage_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\02_Data_Platform\raw\__pycache__\raw_registry.cpython-312.pyc,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_Data_Governance\Change_Control\CHANGELOG.md,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_Data_Governance\lineage\lineage_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_Data_Governance\Project_Control\Football_AI_OS_Migration_Development_Roadmap_V1.0.md,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_Data_Governance\registry\audit_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_Data_Governance\registry\data_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_Data_Governance\registry\governance_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_Data_Governance\registry\lineage_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_Data_Governance\registry\quality_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_Data_Governance\registry\validation_registry.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_MODEL_LAYER\analysis\accuracy_tracker_V2.11.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_MODEL_LAYER\analysis\roi_analyzer_V2.11.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_MODEL_LAYER\confidence_model\confidence_engine_V2.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_MODEL_LAYER\database\model_store.db,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_MODEL_LAYER\database\model_store_v23.db,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_MODEL_LAYER\fusion_engine\fusion_engine_V2.3.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_MODEL_LAYER\market_model\market_value_model_V1.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_MODEL_LAYER\reports\model_feedback_report_V2.11.json,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_MODEL_LAYER\risk_model\risk_engine_V2.0.py,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_MODEL_LAYER\runtime\model_feedback_runtime.db,B,需要引用确认,WAIT_APPROVAL
E:\football_v\03_MODEL_LAYER\legacy_import\01_Data_Engine\data_engine\dixon_coles.py,D,Legacy归档,WAIT_APPROVAL
