FILE,STATUS,TARGET,DELETE_DECISION
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\poisson_engine.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\poisson_history_engine.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\__init__.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\backup_xgboost_fusion_v3_engine.py,BACKUP_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\model_config.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_engine.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_engine.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_v2_engine.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_v2_engine_backup.py,BACKUP_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_v3_engine.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\xgboost_fusion_v3_engine_backup.py,BACKUP_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\__init__.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\__pycache__\model_config.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\__pycache__\__init__.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\__pycache__\dixon_coles.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Dixon_Coles\__pycache__\__init__.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Elo\__pycache__\elo_engine.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Elo\__pycache__\__init__.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\__pycache__\poisson_engine.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\Poisson\__pycache__\__init__.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\__pycache__\xgboost_engine.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\__pycache__\xgboost_fusion_v2_engine.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\03_MODEL_LAYER\Model_Pool\XGBoost\__pycache__\__init__.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\registry_manager_V1.0.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\registry_manager_V1.1.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\__pycache__\registry_manager_V1.1.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\Automation\task_manager\task_registry.json,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_BASELINE_REQUEST.txt,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_STARTUP_CHECKLIST_V1.0.md,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\documentation\checkpoint\FOOTBALL_AI_OS_DEVELOPMENT_TASK_TEMPLATE.txt,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\File_Manager\registry\asset_schema.json,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\File_Manager\registry\file_registry.json,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\File_Manager\registry\file_registry_v11.json,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\File_Manager\registry\file_registry_v11.py,NEED_REVIEW,,PENDING
E:\football_v\00_System_OS\File_Manager\version\version_registry.json,NEED_REVIEW,,PENDING
E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json,NEED_REVIEW,,PENDING
E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry_V1.9.json,NEED_REVIEW,,PENDING
E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\deprecated_registry.json,NEED_REVIEW,,PENDING
E:\football_v\00_SYSTEM_TOOLS\Checkpoint\model_layer_v1.3_checkpoint.json,NEED_REVIEW,,PENDING
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_model_explanation_engine_test_V1.0.py,TEST_KEEP,,PENDING
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_model_explanation_engine_V1.0.py,NEED_REVIEW,,PENDING
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_model_layer_V1.0_V1.3.py,NEED_REVIEW,,PENDING
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\registry\deployment_tool_registry.json,NEED_REVIEW,,PENDING
E:\football_v\01_Data_Source\registry\source_registry.json,NEED_REVIEW,,PENDING
E:\football_v\01_Data_Source\registry\source_registry.py,NEED_REVIEW,,PENDING
E:\football_v\01_Data_Source\registry\source_registry.pynotepad,NEED_REVIEW,,PENDING
E:\football_v\02_Data_Platform\data_manager\dataset_registry.json,NEED_REVIEW,,PENDING
E:\football_v\02_Data_Platform\data_manager\dataset_registry.py,NEED_REVIEW,,PENDING
E:\football_v\02_Data_Platform\metadata\data_platform_registry.json,NEED_REVIEW,,PENDING
E:\football_v\02_Data_Platform\metadata\metadata_registry.json,NEED_REVIEW,,PENDING
E:\football_v\02_Data_Platform\raw\raw_registry.json,NEED_REVIEW,,PENDING
E:\football_v\02_Data_Platform\raw\raw_registry.py,NEED_REVIEW,,PENDING
E:\football_v\02_Data_Platform\registry\data_platform_registry.json,NEED_REVIEW,,PENDING
E:\football_v\02_Data_Platform\registry\data_platform_registry.py,NEED_REVIEW,,PENDING
E:\football_v\02_Data_Platform\storage_engine\storage_registry.json,NEED_REVIEW,,PENDING
E:\football_v\02_Data_Platform\data_manager\__pycache__\dataset_registry.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\02_Data_Platform\metadata\lineage\lineage_registry.json,NEED_REVIEW,,PENDING
E:\football_v\02_Data_Platform\raw\__pycache__\raw_registry.cpython-312.pyc,NEED_REVIEW,,PENDING
E:\football_v\03_Data_Governance\Change_Control\CHANGELOG.md,DOCUMENT_KEEP,,PENDING
E:\football_v\03_Data_Governance\lineage\lineage_registry.json,NEED_REVIEW,,PENDING
E:\football_v\03_Data_Governance\Project_Control\Football_AI_OS_Migration_Development_Roadmap_V1.0.md,NEED_REVIEW,,PENDING
E:\football_v\03_Data_Governance\registry\audit_registry.json,NEED_REVIEW,,PENDING
E:\football_v\03_Data_Governance\registry\data_registry.json,NEED_REVIEW,,PENDING
E:\football_v\03_Data_Governance\registry\governance_registry.json,NEED_REVIEW,,PENDING
E:\football_v\03_Data_Governance\registry\lineage_registry.json,NEED_REVIEW,,PENDING
E:\football_v\03_Data_Governance\registry\quality_registry.json,NEED_REVIEW,,PENDING
E:\football_v\03_Data_Governance\registry\validation_registry.json,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\analysis\accuracy_tracker_V2.11.py,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\analysis\roi_analyzer_V2.11.py,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\confidence_model\confidence_engine_V2.0.py,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\database\model_store.db,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\database\model_store_v23.db,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\fusion_engine\fusion_engine_V2.3.py,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\market_model\market_value_model_V1.0.py,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\reports\model_feedback_report_V2.11.json,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\risk_model\risk_engine_V2.0.py,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\runtime\model_feedback_runtime.db,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\legacy_import\01_Data_Engine\data_engine\dixon_coles.py,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\legacy_import\01_Data_Engine\data_engine\elo_engine.py,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\legacy_import\01_Data_Engine\data_engine\poisson_engine.py,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\legacy_import\03_Machine_Learning\XGBoost\xgboost_engine.py,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\legacy_import\03_Machine_Learning\XGBoost\xgboost_fusion_engine.py,NEED_REVIEW,,PENDING
E:\football_v\03_MODEL_LAYER\legacy_import\03_Machine_Learning\XGBoost\xgboost_fusion_v2_engine.py,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\data_intelligence_engine\model_interface.py,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\dynamic_feature_weight_engine\model_weight_manager.py,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\feature_store\data_source_registry.py,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\feature_store\elo_history_feature_engine.py,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\feature_store\feature_model_adapter.py,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\feature_store\feature_model_interface.py,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\feature_store\feature_model_registry.py,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\feature_store\feature_registry.py,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\feature_store\historical_feature_registry.py,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\feature_store\model_feedback_collector.py,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\feature_store\model_training_exporter.py,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\pipeline\pipeline_registry.json,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\registry\cleaning_registry.json,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\registry\feature_registry.json,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\registry\pipeline_registry.json,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\registry\processing_registry.json,NEED_REVIEW,,PENDING
E:\football_v\04_Data_Processing_AI\registry\transformation_registry.json,NEED_REVIEW,,PENDING
