file,classes,keywords,functions
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,PipOption,elo|model|train,raise_option_error|make_option_group|check_dist_restriction|_path_option_check|_package_name_option_check|exists_action|extra_index_url|find_links|trusted_host|constraints|requirements|editable|_handle_src|_get_format_control|_handle_no_binary|_handle_only_binary|no_binary|only_binary|_convert_python_version|_handle_python_version|add_target_python_options|make_target_python|prefer_binary|_handle_no_cache_dir|_handle_no_use_pep517|_handle_config_settings|_handle_merge_hash|check_list_path_option
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,SessionCommandMixin|IndexGroupCommand,elo,_create_truststore_ssl_context|_pip_self_version_check|__init__|_get_index_urls|get_default_session|_build_session|handle_pip_version_check
E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py,RequirementCommand,model|registry|train,with_cleanup|configure_tempdir_registry|wrapper|__init__|determine_resolver_variant|make_requirement_preparer|make_resolver|get_requirements|trace_basic_info|_build_package_finder
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py,DownloadCommand,train,add_options|run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py,IndexCommand,model,add_options|run|_build_package_finder|get_available_package_versions
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py,InstallCommand,model|train,get_lib_location_guesses|site_packages_writable|decide_user_install|create_os_error_message|add_options|run|_handle_target_dir|_determine_conflicts|_warn_about_conflicts
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py,ListCommand|_DistWithLatestInfo,elo|model,format_for_columns|format_for_json|add_options|handle_pip_version_check|_build_package_finder|run|get_outdated|get_uptodate|get_not_required|iter_packages_latest_infos|output_package_listing|output_package_listing_columns|latest_info
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py,SearchCommand|TransformedHit,fit|model,transform_hits|print_dist_installation_info|print_results|highest_version|add_options|run|search
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py,UninstallCommand,elo,add_options|run
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py,WheelCommand,elo|train,add_options|run
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,_NotAPIContent|_NotHTTP|CacheablePageContent|ParseLinks|IndexContent|HTMLLinkParser|CollectedSources|LinkCollector,fit|model,_match_vcs_scheme|_ensure_api_header|_ensure_api_response|_get_simple_response|_get_encoding_from_headers|with_cached_index_content|parse_links|_handle_get_simple_fail|_make_index_content|_get_index_content|__init__|__init__|__eq__|__hash__|__call__|wrapper|wrapper_wrapper|__str__|__init__|handle_starttag|get_href|__init__|create|find_links|fetch_response|collect_sources
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,LinkType|LinkEvaluator|CandidatePreferences|BestCandidateResult|CandidateEvaluator|PackageFinder,elo|evaluate|model,_check_link_requires_python|filter_unallowed_hashes|_find_name_version_sep|_extract_version_from_fragment|__init__|evaluate_link|__post_init__|create|__init__|get_applicable_candidates|_sort_key|sort_best_candidate|compute_best_candidate|__init__|create|target_python|search_scope|search_scope|find_links|index_urls|proxy|trusted_hosts|custom_cert|client_cert|allow_all_prereleases|set_allow_all_prereleases|prefer_binary|set_prefer_binary|requires_python_skipped_reasons|make_link_evaluator|_sort_links|_log_skipped_link|get_install_candidate|evaluate_links|process_project_url|find_all_candidates|make_candidate_evaluator|find_best_candidate|find_requirement|_format_versions|_should_install_candidate
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py,LinkSource|_FlatDirectoryToUrls|_FlatDirectorySource|_LocalFileSource|_RemoteFileSource|_IndexDirectorySource,model,_is_html_file|build_source|link|page_candidates|file_links|__init__|_scan_directory|page_candidates|project_name_to_urls|__init__|link|page_candidates|file_links|__init__|link|page_candidates|file_links|__init__|link|page_candidates|file_links|__init__|link|page_candidates|file_links
E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py,,model,distutils_scheme|get_scheme|get_bin_prefix|get_purelib|get_platlib
E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py,,model,_should_use_osx_framework_prefix|_infer_prefix|_infer_user|_infer_home|get_scheme|get_bin_prefix|get_purelib|get_platlib
E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__init__.py,,model,_should_use_sysconfig|_looks_like_bpo_44860|_looks_like_red_hat_patched_platlib_purelib|_looks_like_red_hat_lib|_looks_like_debian_scheme|_looks_like_red_hat_scheme|_looks_like_slackware_scheme|_looks_like_msys2_mingw_scheme|_fix_abiflags|_warn_mismatched|_warn_if_mismatch|_log_context|get_scheme|get_bin_prefix|get_bin_user|_looks_like_deb_system_dist_packages|get_purelib|get_platlib
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,BaseEntryPoint|RequiresEntry|BaseDistribution|BaseEnvironment|Wheel|FilesystemWheel|MemoryWheel,elo|model,_convert_installed_files_path|name|value|group|from_directory|from_metadata_file_contents|from_wheel|__repr__|__str__|location|editable_project_location|installed_location|info_location|installed_by_distutils|installed_as_egg|installed_with_setuptools_egg_info|installed_with_dist_info|canonical_name|version|raw_version|setuptools_filename|direct_url|installer|requested|editable|local|in_usersite|in_site_packages|is_file|iter_distutils_script_names|read_text|iter_entry_points|_metadata_impl|metadata|metadata_dict|metadata_version|raw_name|requires_python|iter_dependencies|iter_raw_dependencies|iter_provided_extras|_iter_declared_entries_from_record|_iter_declared_entries_from_legacy|iter_declared_entries|_iter_requires_txt_entries|_iter_egg_info_extras|_iter_egg_info_dependencies|_add_egg_info_requires|default|from_paths|get_distribution|_iter_distributions|iter_all_distributions|iter_installed_distributions|as_zipfile|__init__|as_zipfile|__init__|as_zipfile
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py,EntryPoint|InMemoryMetadata|Distribution|Environment,elo,__init__|has_metadata|get_metadata|get_metadata_lines|metadata_isdir|metadata_listdir|run_script|__init__|_extra_mapping|from_directory|from_metadata_file_contents|from_wheel|location|installed_location|info_location|installed_by_distutils|canonical_name|version|raw_version|is_file|iter_distutils_script_names|read_text|iter_entry_points|_metadata_impl|iter_dependencies|iter_provided_extras|__init__|default|from_paths|_iter_distributions|_search_distribution|get_distribution
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py,WheelDistribution|Distribution,evaluate,__init__|from_zipfile|iterdir|read_text|locate_file|__init__|from_directory|from_metadata_file_contents|from_wheel|location|info_location|installed_location|canonical_name|version|raw_version|is_file|iter_distutils_script_names|read_text|iter_entry_points|_metadata_impl|iter_provided_extras|iter_dependencies
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py,_DistributionFinder|Environment,model,_looks_like_wheel|_emit_egg_deprecation|__init__|_find_impl|find|find_linked|_find_eggs_in_dir|_find_eggs_in_zip|find_eggs|__init__|default|from_paths|_iter_distributions|get_distribution
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\candidate.py,InstallationCandidate,model,__init__|__str__
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py,InstallationReport,evaluate,__init__|_install_req_to_dict|to_dict
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\search_scope.py,SearchScope,model,create|get_formatted_locations|get_index_urls_locations|mkurl_pypi_url
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py,SelectionPreferences,model,__init__
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__init__.py,,model,
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,Credentials|KeyRingBaseProvider|KeyRingNullProvider|KeyRingPythonProvider|KeyRingCliProvider|MultiDomainBasicAuth,model,get_keyring_provider|get_auth_info|save_auth_info|get_auth_info|save_auth_info|__init__|get_auth_info|save_auth_info|__init__|get_auth_info|save_auth_info|_get_password|_set_password|__init__|keyring_provider|keyring_provider|use_keyring|_get_keyring_auth|_get_index_url|_get_new_credentials|_get_url_and_credentials|__call__|_prompt_for_password|_should_save_password_to_keyring|handle_401|warn_on_401|save_credentials|PATH_as_shutil_which_determines_it
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py,SafeFileCache,model,is_from_cache|suppressed_cache_errors|__init__|_get_cache_path|get|_write|set|delete|get_body|set_body
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py,Downloader|BatchDownloader,model,_get_http_response_size|_prepare_download|sanitize_content_filename|parse_content_disposition|_get_http_response_filename|_http_get_download|__init__|__call__|__init__|__call__
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py,HTTPRangeRequestUnsupported|LazyZipOverHTTP,model,dist_from_wheel_url|__init__|mode|name|seekable|close|closed|read|readable|seek|tell|truncate|writable|__enter__|__exit__|_stay|_check_zip|_stream_response|_merge|_download
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,LocalFSAdapter|_SSLContextAdapterMixin|HTTPAdapter|CacheControlAdapter|InsecureHTTPAdapter|InsecureCacheControlAdapter|PipSession,model,looks_like_ci|user_agent|send|close|__init__|init_poolmanager|cert_verify|cert_verify|__init__|update_index_urls|add_trusted_host|iter_secure_origins|is_secure_origin|request
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\utils.py,,model,raise_for_status|response_chunks
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py,PackageDetails,evaluate,create_package_set_from_installed|check_package_set|check_install_conflicts|check_unsupported|_simulate_installation_of|_create_whitelist
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py,File|RequirementPreparer,model,_get_prepared_distribution|unpack_vcs_link|get_http_url|get_file_url|unpack_url|_check_download_dir|__post_init__|__init__|_log_preparing_link|_ensure_link_req_src_dir|_get_linked_req_hashes|_fetch_metadata_only|_fetch_metadata_using_link_data_attr|_fetch_metadata_using_lazy_wheel|_complete_partial_requirements|prepare_linked_requirement|prepare_linked_requirements_more|_prepare_linked_requirement|save_linked_requirement|prepare_editable_requirement|prepare_installed_requirement
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py,,elo,install_editable
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,ZipBackedFile|ScriptFile|MissingCallableSuffix|PipScriptMaker|File,elo|model|predict,rehash|csv_io_kwargs|fix_script|wheel_root_is_purelib|get_entrypoints|message_about_scripts_not_on_PATH|_normalized_outrows|_record_to_fs_path|_fs_to_record_path|get_csv_rows_for_installed|get_console_script_specs|_raise_for_invalid_entrypoint|_install_wheel|req_error_context|install_wheel|__init__|_getinfo|save|__init__|save|__init__|make|record_installed|is_dir_path|assert_no_path_traversal|root_scheme_file_maker|data_scheme_file_maker|is_data_scheme_path|is_script_scheme_path|is_entrypoint_wrapper|pyc_source_file_paths|pyc_output_path|_generate_file|save|make_root_scheme_file|make_data_scheme_file
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py,RequirementParts,model|train,_strip_extras|convert_extras|_set_requirement_extras|parse_editable|check_first_requirement_in_file|deduce_helpful_msg|parse_req_from_editable|install_req_from_editable|_looks_like_path|_get_url_from_path|parse_req_from_line|install_req_from_line|install_req_from_req_string|install_req_from_parsed_requirement|install_req_from_link_and_ireq|install_req_drop_extras|install_req_extend_extras|with_source|_parse_req_string
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,ParsedRequirement|ParsedLine|RequirementsFileParser|OptionParsingError,model|train,parse_requirements|preprocess|handle_requirement_line|handle_option_line|handle_line|get_line_parser|break_args_options|build_parser|join_lines|ignore_comments|expand_env_variables|get_file_content|_decode_req_file|is_editable|requirement|__init__|parse|_parse_and_recurse|_parse_file|parse_line|__init__|parser_exit
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,InstallRequirement,elo|evaluate|model|train,check_invalid_constraint_type|_has_option|check_legacy_setup_py_options|__init__|__str__|__repr__|format_debug|name|supports_pyproject_editable|specifier|is_direct|is_pinned|match_markers|has_hash_options|hashes|from_path|ensure_build_location|_set_requirement|warn_on_mismatching_name|check_if_exists|is_wheel|is_wheel_from_cache|unpacked_source_directory|setup_py_path|setup_cfg_path|pyproject_toml_path|load_pyproject_toml|isolated_editable_sanity_check|prepare_metadata|metadata|get_dist|assert_source_matches_version|ensure_has_source_dir|needs_unpacked_archive|ensure_pristine_source_checkout|update_editable|uninstall|_get_archive_name|archive|install|_clean_zip_name
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py,RequirementSet,train,__init__|__str__|__repr__|add_unnamed_requirement|add_named_requirement|has_requirement|get_requirement|all_requirements|requirements_to_install
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py,StashedUninstallPathSet|UninstallPathSet|UninstallPthEntries,elo,_script_names|_unique|uninstallation_paths|compact|compress_for_rename|compress_for_output_listing|unique|norm_join|__init__|_get_directory_stash|_get_file_stash|stash|commit|rollback|can_rollback|__init__|_permitted|add|add_pth|remove|_allowed_to_proceed|rollback|commit|from_dist|__init__|add|remove|rollback|_display|iter_scripts_to_remove
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py,Resolver,evaluate|model|train,_check_dist_requires_python|__init__|resolve|_add_requirement_to_set|_is_upgrade_allowed|_set_req_to_reinstall|_check_skip_installed|_find_requirement_link|_populate_link|_get_dist_for|_resolve_one|get_installation_order|add_req|schedule
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py,Constraint|Requirement|Candidate,elo|model|train,format_name|_match_link|empty|from_ireq|__bool__|__and__|is_satisfied_by|project_name|name|is_satisfied_by|get_candidate_lookup|format_for_error|project_name|name|version|is_installed|is_editable|source_link|iter_dependencies|get_install_requirement|format_for_error
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,_InstallRequirementBackedCandidate|LinkCandidate|EditableCandidate|AlreadyInstalledCandidate|ExtrasCandidate|RequiresPythonCandidate,elo|model|train,as_base_candidate|make_install_req_from_link|make_install_req_from_editable|_make_install_req_from_dist|__init__|__str__|__repr__|__hash__|__eq__|source_link|project_name|name|version|format_for_error|_prepare_distribution|_check_metadata_consistency|_prepare|iter_dependencies|get_install_requirement|__init__|_prepare_distribution|__init__|_prepare_distribution|__init__|__str__|__repr__|__eq__|__hash__|project_name|name|version|is_editable|format_for_error|iter_dependencies|get_install_requirement|__init__|__str__|__repr__|__hash__|__eq__|project_name|name|version|format_for_error|is_installed|is_editable|source_link|iter_dependencies|get_install_requirement|__init__|__str__|project_name|name|version|format_for_error|iter_dependencies|get_install_requirement
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py,CollectedRootRequirements|Factory|ConflictCause,fit|model|train,__init__|force_reinstall|_fail_if_link_is_unsupported_wheel|_make_extras_candidate|_make_candidate_from_dist|_make_candidate_from_link|_make_base_candidate_from_link|_iter_found_candidates|_iter_explicit_candidates_from_base|_iter_candidates_from_constraints|find_candidates|_make_requirements_from_install_req|collect_root_requirements|make_requirement_from_candidate|make_requirements_from_spec|make_requires_python_requirement|get_wheel_cache_entry|get_dist_to_uninstall|_report_requires_python_error|_report_single_requirement_conflict|get_installation_error|_get_installed_candidate|iter_index_candidate_infos|text_join|describe_trigger|is_pinned
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py,PipProvider,train,_get_with_identifier|__init__|identify|get_preference|find_matches|is_satisfied_by|get_dependencies|is_backtrack_cause|_eligible_for_upgrade
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py,PipReporter|PipDebuggingReporter,train,__init__|rejecting_candidate|starting|starting_round|ending_round|ending|adding_requirement|rejecting_candidate|pinning
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py,ExplicitRequirement|SpecifierRequirement|SpecifierWithoutExtrasRequirement|RequiresPythonRequirement|UnsatisfiableRequirement,elo,__init__|__str__|__repr__|__hash__|__eq__|project_name|name|format_for_error|get_candidate_lookup|is_satisfied_by|__init__|_equal|__str__|__repr__|__eq__|__hash__|project_name|name|format_for_error|get_candidate_lookup|is_satisfied_by|__init__|_equal|__eq__|__hash__|__init__|__str__|__repr__|__hash__|__eq__|project_name|name|format_for_error|get_candidate_lookup|is_satisfied_by|__init__|__str__|__repr__|__eq__|__hash__|project_name|name|format_for_error|get_candidate_lookup|is_satisfied_by
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py,Resolver,predict|train,get_topological_weights|_req_set_item_sorter|__init__|resolve|get_installation_order|visit
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\compat.py,,elo,has_tls|get_path_uid|open_text_resource
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py,,model,direct_url_as_pep440_direct_reference|direct_url_for_editable|direct_url_from_link
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,BrokenStdoutLoggingError|IndentingFormatter|IndentedRenderable|PipConsole|RichPipStreamHandler|BetterRotatingFileHandler|MaxLevelFilter|ExcludeLoggerFilter,elo,_is_broken_pipe_error|indent_log|get_indentation|setup_logging|__init__|get_message_start|format|__rich_console__|on_broken_pipe|__init__|emit|handleError|_open|__init__|filter|filter
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\setuptools_build.py,,elo,make_setuptools_shim_args|make_setuptools_bdist_wheel_args|make_setuptools_clean_args|make_setuptools_develop_args|make_setuptools_egg_info_args
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py,TempDirectoryTypeRegistry|_Default|TempDirectory|AdjacentTempDirectory,registry,global_tempdir_manager|tempdir_registry|__init__|set_delete|get_delete|__init__|path|__repr__|__enter__|__exit__|_create|cleanup|__init__|_generate_names|_create|onerror
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py,,elo,current_umask|split_leading_dir|has_leading_dir|is_within_directory|_get_default_mode_plus_executable|set_extracted_file_to_default_mode_plus_executable|zip_item_is_executable|unzip_file|untar_file|_untar_without_filter|unpack_file|pip_filter
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_jaraco_text.py,,elo|fit,_nonblank|yield_lines|_|drop_comment|join_continuation
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_log.py,VerboseLogger,elo,getLogger|init_logging|verbose
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\subversion.py,Subversion,evaluate,should_add_vcs_url_prefix|get_base_rev_args|get_revision|get_netloc_and_auth|get_url_rev_and_auth|make_rev_args|get_remote_url|_get_svn_url_rev|is_commit_id_equal|__init__|call_vcs_version|get_vcs_version|get_remote_call_options|fetch_new|switch|update
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py,RemoteNotFoundError|RemoteNotValidError|RevOptions|VcsSupport|VersionControl,registry,is_url|make_vcs_requirement_url|find_path_to_project_root_from_repo_root|__init__|__repr__|arg_rev|to_args|to_display|make_new|__init__|__iter__|backends|dirnames|all_schemes|register|unregister|get_backend_for_dir|get_backend_for_scheme|get_backend|should_add_vcs_url_prefix|get_subdirectory|get_requirement_revision|get_src_requirement|get_base_rev_args|is_immutable_rev_checkout|make_rev_options|_is_local_repository|get_netloc_and_auth|get_url_rev_and_auth|make_rev_args|get_url_rev_options|normalize_url|compare_urls|fetch_new|switch|update|is_commit_id_equal|obtain|unpack|get_remote_url|get_revision|run_command|is_repository_directory|get_repository_root
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,_Sentinel|_ExtensionsSpecialForm|_DefaultMixin|_TypeVarLikeMeta|_SpecialForm|_AnyMeta|Any|_LiteralGenericAlias|_LiteralForm|_SpecialGenericAlias|_ProtocolMeta|Protocol|SupportsInt|SupportsFloat|SupportsComplex|SupportsBytes|SupportsIndex|SupportsAbs|SupportsRound|_TypedDictMeta|_AnnotatedAlias|Annotated|NoDefaultTypeMeta|NoDefaultType|TypeVar|_Immutable|ParamSpecArgs|ParamSpecKwargs|_ConcatenateGenericAlias|deprecated|_NamedTupleMeta|Buffer|NewType|TypeAliasType|Doc|ParamSpec|ParamSpec|_ConcatenateForm|_TypeGuardForm|_TypeIsForm|_RequiredForm|_ReadOnlyForm|_UnpackSpecialForm|_UnpackAlias|_UnpackAlias|_UnpackForm|TypeVarTuple|TypeVarTuple|Dummy,elo|evaluate|fit|model|pickle|registry|train,IntVar|_get_protocol_attrs|_caller|_ensure_subclassable|_set_default|_set_module|_concatenate_getitem|_has_generic_or_protocol_as_origin|_is_unpacked_typevartuple|__repr__|_should_collect_from_parameters|__repr__|final|_flatten_literal_params|_value_and_type_iter|overload|get_overloads|clear_overloads|_is_dunder|_allow_reckless_class_checks|_no_init|_type_check_issubclass_arg_1|_proto_hook|runtime_checkable|inner|_get_typeddict_qualifiers|TypedDict|is_typeddict|assert_type|_strip_extras|get_type_hints|get_origin|get_args|__instancecheck__|__init__|__getattr__|__mro_entries__|__repr__|__reduce__|__call__|__or__|__ror__|__instancecheck__|__subclasscheck__|__getitem__|LiteralString|Self|Never|_is_unpack|reveal_type|assert_never|dataclass_transform|override|_check_generic|_check_generic|_collect_type_vars|_collect_parameters|_make_nmtuple|_namedtuple_mro_entries|NamedTuple|get_original_bases|_is_unionable|is_protocol|get_protocol_members|_should_collect_from_parameters|_should_collect_from_parameters|__instancecheck__|__repr__|__new__|__eq__|__hash__|__init__|__getitem__|__init__|__setattr__|__getitem__|__new__|__init__|__subclasscheck__|__instancecheck__|__eq__|__hash__|__init_subclass__|__int__|__float__|__complex__|__bytes__|__index__|__abs__|__round__|__new__|__subclasscheck__|__init__|copy_with|__repr__|__reduce__|__eq__|__hash__|__new__|__class_getitem__|__init_subclass__|TypeAlias|__setattr__|__new__|__repr__|__reduce__|__new__|__init_subclass__|__copy__|__deepcopy__|__init__|__repr__|__eq__|__init__|__repr__|__eq__|__init__|__repr__|__hash__|__call__|__parameters__|Concatenate|TypeGuard|TypeIs|Required|NotRequired|ReadOnly|Unpack|_is_unpack|_is_unpack|_unpack_args|decorator|__init__|__call__|__new__|__call__|__init__|__mro_entries__|__repr__|__reduce__|__init__|__setattr__|__delattr__|_raise_attribute_error|__repr__|__getitem__|__reduce__|__init_subclass__|__call__|__init__|__repr__|__hash__|__eq__|_tvar_prepare_subst|__new__|__init_subclass__|args|kwargs|__init__|__repr__|__hash__|__eq__|__reduce__|__call__|__getitem__|__getitem__|__getitem__|__getitem__|__getitem__|__init__|__typing_unpacked_tuple_args__|__getitem__|__new__|__init_subclass__|__iter__|__init__|__repr__|__hash__|__eq__|__reduce__|__init_subclass__|__or__|__ror__|__or__|__ror__|_paramspec_prepare_subst|_typevartuple_prepare_subst|__init_subclass__|__new__|__init_subclass__|__init_subclass__|wrapper
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py,BaseHeuristic|OneDayCache|ExpiresAfter|LastModified,elo,expire_after|datetime_to_header|warning|update_headers|apply|update_headers|__init__|update_headers|warning|update_headers|warning
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py,Serializer,elo|pickle,dumps|serialize|loads|prepare_response|_loads_v4
