file,keyword
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__init__.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\candidate.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\search_scope.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__init__.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\network\utils.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,predict
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py,train
E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py,predict
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\compat.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py,model
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\setuptools_build.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py,registry
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_jaraco_text.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_jaraco_text.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_log.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\subversion.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py,registry
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,model
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,pickle
E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py,registry
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py,pickle
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py,model
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,registry
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\version.py,model
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\version.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\__init__.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\ext.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\__init__.py,pickle
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\markers.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\metadata.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\tags.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\version.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\_spdx.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\__init__.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\__init__.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,registry
E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\macos.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py,registry
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\modeline.py,model
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\token.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py,model
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\img.py,registry
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py,poisson
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py,model
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py,registry
E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py,model
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\adapters.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\adapters.py,model
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\adapters.py,pickle
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\cookies.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\cookies.py,pickle
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\models.py,model
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\models.py,pickle
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\sessions.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\sessions.py,model
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\sessions.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\utils.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\utils.py,registry
E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\__init__.py,model
E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\providers.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\resolvers.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\align.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\align.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\cells.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\columns.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\console.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\console.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\constrain.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\diagnose.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\logging.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\measure.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\padding.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\panel.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\pretty.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\progress.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\scope.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\scope.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\segment.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\table.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\table.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\text.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\traceback.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\tree.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_emoji_codes.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_emoji_codes.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_emoji_codes.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_inspect.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_ratio.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_spinners.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_wrap.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\__main__.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\truststore\_macos.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\truststore\_windows.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\connection.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\connectionpool.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\response.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\response.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\securetransport.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\securetransport.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_appengine_environ.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\bindings.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\bindings.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\bindings.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\six.py,elo
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\six.py,fit
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\six.py,pickle
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\weakref_finalize.py,evaluate
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\weakref_finalize.py,registry
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\retry.py,train
E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\ssl_.py,elo
E:\football_v\00_System_OS\01_DATA_LAYER\import_pipeline\duplicate_checker.py,registry
E:\football_v\00_System_OS\01_DATA_LAYER\import_pipeline\importer.py,registry
E:\football_v\00_System_OS\01_DATA_LAYER\market\bookmaker_manager.py,registry
E:\football_v\00_System_OS\01_DATA_LAYER\market\market_type_manager.py,registry
E:\football_v\00_System_OS\01_DATA_LAYER\quality\quality_checker.py,registry
E:\football_v\00_System_OS\01_DATA_LAYER\quality\quality_engine.py,evaluate
E:\football_v\00_System_OS\01_DATA_LAYER\registry\registry_manager.py,registry
E:\football_v\00_System_OS\01_DATA_LAYER\scripts\quality_rule_init.py,elo
E:\football_v\00_System_OS\01_DATA_LAYER\scripts\registry_init.py,registry
E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_registry_flow.py,registry
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\architecture_classifier\architecture_classifier_V1.0.py,model
E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\tests\test_architecture_cleanup_V1.0.py,registry
E:\football_v\00_System_OS\Bootstrap\bootstrap.py,registry
E:\football_v\00_System_OS\DEPLOYMENT_QUALITY_CHECKER\deployment_quality_checker_V1.0.py,model
E:\football_v\00_System_OS\File_Manager\archive\archive_manager_v11.py,registry
E:\football_v\00_System_OS\File_Manager\duplicate\duplicate_detector_v11.py,registry
E:\football_v\00_System_OS\File_Manager\hash\duplicate_detector.py,registry
E:\football_v\00_System_OS\File_Manager\lifecycle\lifecycle_engine.py,registry
E:\football_v\00_System_OS\File_Manager\lifecycle\lifecycle_manager.py,registry
E:\football_v\00_System_OS\File_Manager\registry\file_registry_v11.py,registry
E:\football_v\00_System_OS\File_Manager\scanner\file_scanner.py,model
E:\football_v\00_System_OS\File_Manager\scanner\file_scanner.py,registry
E:\football_v\00_System_OS\File_Manager\version\version_manager.py,registry
E:\football_v\00_System_OS\integration_test\test_api_pipeline.py,model
E:\football_v\00_System_OS\integration_test\test_api_pipeline.py,predict
E:\football_v\00_System_OS\integration_test\test_dashboard.py,model
E:\football_v\00_System_OS\integration_test\test_dashboard.py,predict
E:\football_v\00_System_OS\integration_test\test_database_connection.py,model
E:\football_v\00_System_OS\integration_test\test_model_pipeline.py,elo
E:\football_v\00_System_OS\integration_test\test_model_pipeline.py,dixon
E:\football_v\00_System_OS\integration_test\test_model_pipeline.py,poisson
E:\football_v\00_System_OS\integration_test\test_model_pipeline.py,xgboost
E:\football_v\00_System_OS\integration_test\test_model_pipeline.py,XGB
E:\football_v\00_System_OS\integration_test\test_model_pipeline.py,model
E:\football_v\00_System_OS\registry\dependency_engine.py,registry
E:\football_v\00_System_OS\registry\registry_api.py,registry
E:\football_v\00_System_OS\registry\registry_manager.py,registry
E:\football_v\00_System_OS\registry\registry_scanner.py,registry
E:\football_v\00_System_OS\RELEASE_VALIDATION\dependency_checker\dependency_checker_V1.0.py,model
E:\football_v\00_System_OS\SYSTEM_HEALTH_MONITOR\system_health_monitor_V1.0.py,model
E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_phase3_2_memory_bridge.py,predict
E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase1.py,predict
E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase1_patch.py,predict
E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase2.py,elo
E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase2.py,model
E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase2.py,predict
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.0_V1.4.py,elo
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.0_V1.4.py,dixon
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.0_V1.4.py,poisson
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.0_V1.4.py,xgboost
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.0_V1.4.py,XGB
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.0_V1.4.py,model
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.2.py,model
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.3_V1.4.py,model
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.5_V1.6.py,model
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.5_V1.6.py,evaluate
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.7_V1.8.py,evaluate
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.9_V2.0.py,model
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.9_V2.0.py,evaluate
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.1_V2.2_BATCH.py,model
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.3_V2.4_BATCH.py,predict
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.5_V2.6_BATCH.py,predict
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.7_V2.8_BATCH.py,predict
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.9_V3.0_BATCH.py,predict
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.9_V3.0_BATCH.py,evaluate
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_intelligence_layer_core_V1.0.py,elo
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_intelligence_layer_core_V1.0.py,dixon
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_intelligence_layer_core_V1.0.py,poisson
E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_intelligence_layer_core_V1.0.py,xgboost
