called_function,file,error
,E:\football_v\phase3_call_graph_scan.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\release_final_patch_V2.0.1.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\release_integration_V2.0.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\release_validation_V1.5.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\test_ai_intelligence_V2.0.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
,E:\football_v\validate_release_V2.0.py,"invalid non-printable character U+FEFF (<unknown>, line 1)"
_wrapper,E:\football_v\.venv\Lib\site-packages\pip\__init__.py,
str,E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
hasattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
get_purelib,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
get_platlib,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
get_scheme,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
_dedup,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
TempDirectory,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
OrderedDict,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
reversed,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
_get_system_sitepackages,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
list,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
open,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
_Prefix,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
hasattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
get_environment,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
get_default_environment,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
get_requirement,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
get_runnable_pip,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
open_spinner,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
call_subprocess,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
sorted,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
NotImplementedError,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
interpreter_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
interpreter_version,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
_hash_dict,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
NotImplementedError,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
NotImplementedError,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
canonicalize_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
min,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
Link,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
path_to_url,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
Wheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
canonicalize_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
TempDirectory,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
Path,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
SimpleWheelCache,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
EphemWheelCache,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
CacheEntry,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
CacheEntry,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
Path,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,
ConfigurationError,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
ConfigurationError,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
map,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
_normalize_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
_disassemble_key,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
ConfigurationError,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
_normalize_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
_disassemble_key,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
_normalize_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
ConfigurationError,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
_disassemble_key,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
ConfigurationError,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
ensure_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
open,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
ConfigurationError,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
ConfigurationError,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
dict,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
ConfigurationFileCouldNotBeLoaded,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
ConfigurationFileCouldNotBeLoaded,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
_normalize_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
get_configuration_files,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
ConfigurationError,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
_is_kebab_case,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
hasattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
_prefix_with_indent,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
_prefix_with_indent,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
_prefix_with_indent,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
_prefix_with_indent,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
_prefix_with_indent,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
escape,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
escape,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
hasattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
escape,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
escape,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
groupby,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
bool,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
chain,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
hash_then_or,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
repeat,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
next,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
cls,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
cls,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
chain,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
repeat,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,
_wrapper,E:\football_v\.venv\Lib\site-packages\pip\_internal\main.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
all,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
BuildSystemDetails,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
InstallationError,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
MissingPyProjectBuildRequires,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
_is_list_of_str,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
InvalidPyProjectBuildRequires,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
open,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
InstallationError,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
get_requirement,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
InstallationError,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
InvalidPyProjectBuildRequires,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,
get_default_environment,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
SelectionPreferences,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
parse_version,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
was_installed_by_pip,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
get_remote_version,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
UpgradePrompt,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
_self_version_check_logic,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
check_externally_managed,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
get_default_environment,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
SelfCheckState,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
_get_statefile_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
open,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
_convert_date,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
ensure_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
check_path_owner,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
adjacent_tmp_file,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
replace,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
Group,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
get_best_invocation_for_this_pip,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
Text,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
get_best_invocation_for_this_python,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
escape,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,
bool,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
_should_build,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
_should_build,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
_contains_egg_info,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
bool,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
_should_cache,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
canonicalize_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
Wheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
get_wheel_distribution,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
canonicalize_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
InvalidWheelFilename,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
FilesystemWheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
canonicalize_version,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
canonicalize_version,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
InvalidWheelFilename,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
UnsupportedWheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
Version,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
UnsupportedWheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
UnsupportedWheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
Version,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
ensure_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
_build_one_inside_env,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
_verify_one,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
TempDirectory,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
build_wheel_legacy,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
_clean_one_legacy,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
build_wheel_editable,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
build_wheel_pep517,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
hash_file,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
make_setuptools_clean_args,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
call_subprocess,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
indent_log,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
_get_cache_dir,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
_build_one,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
Link,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
path_to_url,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,
_wrapper,E:\football_v\.venv\Lib\site-packages\pip\_internal\__init__.py,
int,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
create_main_parser,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
list,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
create_command,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
get_path_completion_type,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
print,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
get_default_environment,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
auto_complete_paths,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
auto_complete_paths,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
print,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
get_path_completion_type,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
print,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
list,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
print,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
auto_complete_paths,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
any,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py,
ConfigOptionParser,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
UpdatingDefaultsHelpFormatter,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
get_prog,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
hasattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
_inner_run,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
_inner_run,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
print,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
reconfigure,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
setup_logging,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
tempdir_registry,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
global_tempdir_manager,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
normalize_path,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
deprecated,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
running_under_virtualenv,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
check_path_owner,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
sorted,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,
OptionGroup,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
option,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
any,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
FormatControl,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
CommandError,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
CommandError,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
canonicalize_name,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
Option,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
Option,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
Option,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
Option,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
Option,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
Option,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
Option,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
setattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
_get_format_control,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
_get_format_control,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
FormatControl,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
Option,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
FormatControl,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
Option,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
tuple,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
int,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
_convert_python_version,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
raise_option_error,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
platforms,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
python_version,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
implementation,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
abis,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
TargetPython,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
Option,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
strtobool,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
raise_option_error,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
raise_option_error,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
all,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
raise_option_error,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
setattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
CommandError,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,
ExitStack,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py,
check,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,
PipSession,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,
_create_truststore_ssl_context,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,
hasattr,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py,
